"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_latent_gvrf","a",0.065833340464767,0.0100994196152649,6.51852710083083,7.10012049154329e-11,0.0460388417540904,0.0856278391754437,7.10012049154329e-11
"2","heart_latent_pc1","heart_latent_pc1","~","cov_age","",0.0217495033685455,0.00858818095029994,2.53249244448976,0.0113254810545729,0.00491697801324463,0.0385820287238463,0.0113254810545729
"3","heart_latent_pc1","heart_latent_pc1","~","cov_sex","",0.208547186411616,0.00969986123754875,21.5000175058502,0,0.189535807730984,0.227558565092247,0
"4","heart_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0461738476806916,0.0102852128457785,-4.48934294049574,7.14432003112719e-06,-0.066332494431746,-0.0260152009296371,7.14432003112719e-06
"5","heart_latent_pc1","cog_latent_g","~","heart_latent_pc1","b",0.00160975892607536,0.00881674189713926,0.182579794764966,0.85512773927823,-0.0156707376533029,0.0188902555054537,0.85512773927823
"6","heart_latent_pc1","cog_latent_g","~","cov_age","",-0.158139441980193,0.00857164757154267,-18.4491301888339,0,-0.174939562508587,-0.141339321451799,0
"7","heart_latent_pc1","cog_latent_g","~","cov_sex","",0.110150867487516,0.0101868622112999,10.8130320409488,0,0.0901849844378965,0.130116750537136,0
"8","heart_latent_pc1","de",":=","c","de",-0.0461738476806916,0.0102852128457785,-4.48934294049574,7.14432003112719e-06,-0.066332494431746,-0.0260152009296371,3.5721600155636e-05
"9","heart_latent_pc1","ie",":=","a*b","ie",0.000105975807446517,0.000580663849319217,0.182508016593017,0.855184063683444,-0.00103210442434354,0.00124405603923658,0.855184063683444
"10","heart_latent_pc1","te",":=","c+a*b","te",-0.046067871873245,0.0102688858309824,-4.48616068300742,7.25180596239383e-06,-0.0661945182633241,-0.0259412254831659,7.25180596239383e-06
"11","heart_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a",-0.554877779132682,0.00722812710205752,-76.7664667898181,0,-0.569044647928393,-0.540710910336972,0
"12","heart_latent_pc2","heart_latent_pc2","~","cov_age","",-0.0801355853824045,0.00721298255178864,-11.1099097782419,0,-0.094272771405026,-0.0659983993597829,0
"13","heart_latent_pc2","heart_latent_pc2","~","cov_sex","",0.604622688852835,0.00675660874558161,89.4861182021557,0,0.591379979053867,0.617865398651803,0
"14","heart_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",-0.00564863554534732,0.0117830844357364,-0.479385136901491,0.63166466519292,-0.0287430566661851,0.0174457855754905,0.63166466519292
"15","heart_latent_pc2","cog_latent_g","~","heart_latent_pc2","b",0.0728435075572833,0.0104200886174446,6.99068023618665,2.73558953267639e-12,0.0524205091513762,0.0932665059631905,2.73558953267639e-12
