"","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj"
"1","cog_latent_g","~","cardio_latent_gvrf","c",0.0134758305182581,0.0146449136277305,0.920171389248844,0.35748320296409,-0.0152276727487935,0.0421793337853096,0.35748320296409
"2","cog_latent_g","~","cov_age","",-0.0546074679145918,0.0123483108913854,-4.42226215349726,9.76728446655528e-06,-0.0788097125316109,-0.0304052232975726,9.76728446655528e-06
"3","cog_latent_g","~","cov_sex","",-0.0892779026871049,0.017927164287501,-4.98003483737529,6.35728284015258e-07,-0.124414499035539,-0.0541413063386704,6.35728284015258e-07
"4","cog_latent_g","~","heart_latent_pc1","b1",0.106081308621547,0.0187347218923093,5.66228360534638,1.49371681690269e-08,0.0693619284522466,0.142800688790847,1.49371681690269e-08
"5","cog_latent_g","~","heart_latent_pc2","b2",0.0762986364269092,0.0167535544511725,4.55417604958269,5.25912999504996e-06,0.0434622730895804,0.109134999764238,5.25912999504996e-06
"6","cog_latent_g","~","heart_latent_pc3","b3",0.00116310489518054,0.0114759987421109,0.101351082491196,0.919271766956183,-0.0213294393259837,0.0236556491163448,0.919271766956183
"7","cog_latent_g","~","brain_latent_grey","b4",0.0212318422121548,0.0308866502832833,0.687411616909654,0.491823379120912,-0.0393048799461643,0.0817685643704738,0.491823379120912
"8","cog_latent_g","~","brain_latent_atrophy","b5",0.107641460281575,0.0351756032481451,3.0601169657908,0.00221250566101694,0.0386985447807401,0.176584375782409,0.00221250566101694
"9","cog_latent_g","~","brain_latent_gMD","b6",0.0898969654731712,0.0632360183093252,1.42161014998496,0.155139456573189,-0.0340433529388216,0.213837283885164,0.155139456573189
"10","cog_latent_g","~","brain_latent_gFA","b7",-0.0506608621433085,0.0296303394672146,-1.70976313650958,0.0873096823053454,-0.108735260348745,0.00741353606212783,0.0873096823053454
"11","cog_latent_g","~","brain_latent_pc1","b8",0.169969199132413,0.0732624167085366,2.32000535566018,0.02034058761838,0.0263775009633155,0.31356089730151,0.02034058761838
"12","cog_latent_g","~","brain_latent_pc2","b9",-0.0303200860629358,0.0237272608349854,-1.27785867377617,0.201299261779512,-0.076824662751295,0.0161844906254235,0.201299261779512
"13","cog_latent_g","~","brain_latent_pc3","b10",0.0514760632114737,0.015270186674511,3.37101728411726,0.000748911589578238,0.0215470472922286,0.0814050791307188,0.000748911589578238
"14","cog_latent_g","~","heart_latent_cc1","b11",0.0165451652489668,0.0263937009061426,0.626860375049418,0.530750763422127,-0.035185537945795,0.0682758684437285,0.530750763422127
"15","cog_latent_g","~","heart_latent_cc2","b12",-0.0454897571431366,0.014061563458485,-3.23504262363423,0.00121624572861889,-0.0730499150880917,-0.0179295991981815,0.00121624572861889
"16","cog_latent_g","~","heart_latent_cc3","b13",-0.00854676974739836,0.0133474238597487,-0.640331035951627,0.521957407594191,-0.0347072397988965,0.0176137003040997,0.521957407594191
"17","cog_latent_g","~","brain_latent_cc1","b14",0.0389911010142656,0.0195130156790004,1.99820989516383,0.0456939092121311,0.000746293053659385,0.0772359089748718,0.0456939092121311
"18","cog_latent_g","~","brain_latent_cc2","b15",-0.0643459989965112,0.0151693931564854,-4.24183079261816,2.21703818585883e-05,-0.094077463250551,-0.0346145347424714,2.21703818585883e-05
"19","cog_latent_g","~","brain_latent_cc3","b16",0.0136263188500829,0.0114998862692656,1.18490900962216,0.236053424770113,-0.00891304406398428,0.0361656817641502,0.236053424770113
"20","heart_latent_pc1","~","cardio_latent_gvrf","a1",0.399874675106151,0.00704840191696665,56.7326721456657,0,0.386060061200333,0.413689289011968,0
"21","heart_latent_pc1","~","cov_age","",-0.0915356966797739,0.00641693530530831,-14.2647061758675,0,-0.104112658769302,-0.078958734590246,0
"22","heart_latent_pc1","~","cov_sex","",0.424382533366794,0.00681750738475548,62.2489290317088,0,0.411020464428338,0.437744602305251,0
"23","heart_latent_pc2","~","cardio_latent_gvrf","a2",-0.465543006777737,0.00784059630338489,-59.3759694752752,0,-0.480910293149689,-0.450175720405785,0
"24","heart_latent_pc2","~","cov_age","",-0.102066106131837,0.00739278878336074,-13.8061710029592,0,-0.116555705892536,-0.0875765063711384,0
"25","heart_latent_pc2","~","cov_sex","",0.65709609080218,0.0065912109827665,99.6927715590102,0,0.644177554661453,0.670014626942907,0
"26","heart_latent_pc3","~","cardio_latent_gvrf","a3",0.288497092581394,0.00993335792796983,29.0432595576828,0,0.269028068797028,0.307966116365761,0
"27","heart_latent_pc3","~","cov_age","",-0.175974684407159,0.00862656498773147,-20.3991605763623,0,-0.192882441093407,-0.159066927720911,0
"28","heart_latent_pc3","~","cov_sex","",-0.062991374065224,0.0101562331400834,-6.20223789631386,5.56658497075091e-10,-0.0828972252383796,-0.0430855228920684,5.56658497075091e-10
"29","brain_latent_grey","~","cardio_latent_gvrf","a4",-0.0654518432949554,0.00883352373906196,-7.40948292305216,1.26787469412193e-13,-0.0827652316800964,-0.0481384549098144,1.26787469412193e-13
"30","brain_latent_grey","~","cov_age","",-0.351572077748389,0.00690383922567698,-50.9241403595858,0,-0.365103353985771,-0.338040801511007,0
"31","brain_latent_grey","~","cov_sex","",0.503206861485926,0.00755563308096028,66.6002247718957,0,0.488398092766844,0.518015630205007,0
"32","brain_latent_atrophy","~","cardio_latent_gvrf","a5",-0.0283126977321014,0.00864839432389557,-3.27375194420463,0.00106129732395654,-0.0452632391310374,-0.0113621563331655,0.00106129732395654
"33","brain_latent_atrophy","~","cov_age","",-0.25431605874843,0.00704615910969391,-36.0928634720367,0,-0.268126276832769,-0.240505840664091,0
