"","features","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","Number","cluster","nickname","sig"
"174","RunPercentage_glrlm_MYO_ES","heart_texture_RunPercentage_glrlm_MYO_ES","de",":=","c","de",-0.0449269004762934,0.0108553979553263,-4.13866913596197,3.49326297741648e-05,-0.0662030895065826,-0.0236507114460042,0.000157119116355322,179,"#A6D854","Global Variance",TRUE
"175","RunVariance_glrlm_MYO_ED","heart_texture_RunVariance_glrlm_MYO_ED","de",":=","c","de",-0.0488039997238964,0.010998530605783,-4.43731999056633,9.10858376723667e-06,-0.0703607235940925,-0.0272472758537003,6.62902485282224e-05,77,"#8DA0CB","Local Uniformity",TRUE
"176","RunVariance_glrlm_MYO_ES","heart_texture_RunVariance_glrlm_MYO_ES","de",":=","c","de",-0.0425684114223598,0.0108647801539353,-3.91801866390655,8.92797949840762e-05,-0.0638629892240185,-0.0212738336207012,0.000299888542126,74,"#8DA0CB","Local Uniformity",TRUE
"177","ShortRunEmphasis_glrlm_MYO_ED","heart_texture_ShortRunEmphasis_glrlm_MYO_ED","de",":=","c","de",-0.0510047357662918,0.0110749110661481,-4.60543073092428,4.11612985296017e-06,-0.0727111625879261,-0.0292983089446574,4.14779239029063e-05,156,"#A6D854","Global Variance",TRUE
"178","ShortRunEmphasis_glrlm_MYO_ES","heart_texture_ShortRunEmphasis_glrlm_MYO_ES","de",":=","c","de",-0.0436560512219706,0.010833880856726,-4.02958568580413,5.587524625561e-05,-0.0648900675139515,-0.0224220349299896,0.000212163978535795,181,"#A6D854","Global Variance",TRUE
"179","ShortRunHighGrayLevelEmphasis_glrlm_MYO_ED","heart_texture_ShortRunHighGrayLevelEmphasis_glrlm_MYO_ED","de",":=","c","de",-0.0306682915890913,0.0123686597555085,-2.47951614769198,0.0131560772940138,-0.0549104192469179,-0.00642616393126464,0.017148717666824,210,"#FFD92F","Global Intensity",TRUE
"180","ShortRunHighGrayLevelEmphasis_glrlm_MYO_ES","heart_texture_ShortRunHighGrayLevelEmphasis_glrlm_MYO_ES","de",":=","c","de",-0.0285306772028151,0.0122712690991153,-2.32499808881805,0.0200720623948092,-0.0525819226816804,-0.00447943172394978,0.024806039374717,230,"#FFD92F","Global Intensity",TRUE
"181","ShortRunLowGrayLevelEmphasis_glrlm_MYO_ED","heart_texture_ShortRunLowGrayLevelEmphasis_glrlm_MYO_ED","de",":=","c","de",-0.0273915763924435,0.0121432446714378,-2.25570489054472,0.0240891190946577,-0.0511918986039196,-0.00359125418096742,0.0290845585382503,48,"#FC8D62","Local Dimness",TRUE
"182","ShortRunLowGrayLevelEmphasis_glrlm_MYO_ES","heart_texture_ShortRunLowGrayLevelEmphasis_glrlm_MYO_ES","de",":=","c","de",-0.0260451905351092,0.0120672833760831,-2.15833089547973,0.0309021142860197,-0.049696631343471,-0.00239374972674733,0.0366350857146478,53,"#FC8D62","Local Dimness",TRUE
"183","SizeZoneNonUniformity_glszm_MYO_ED","heart_texture_SizeZoneNonUniformity_glszm_MYO_ED","de",":=","c","de",-0.0423528633587989,0.0108591773794309,-3.90019076758267,9.61169221755931e-05,-0.0636364599242154,-0.0210692667933823,0.000310896711234634,4,"#66C2A5","Size",TRUE
"184","SizeZoneNonUniformity_glszm_MYO_ES","heart_texture_SizeZoneNonUniformity_glszm_MYO_ES","de",":=","c","de",-0.0395529306287762,0.0109128299251133,-3.62444305466124,0.000289584814197941,-0.0609416842514093,-0.0181641770061432,0.000754506413959575,43,"#66C2A5","Size",TRUE
"185","SizeZoneNonUniformityNormalized_glszm_MYO_ED","heart_texture_SizeZoneNonUniformityNormalized_glszm_MYO_ED","de",":=","c","de",-0.0252783781402448,0.0110303490850599,-2.29171152656295,0.0219222948436759,-0.0468974650838665,-0.00365929119662308,0.0268394450889864,138,"#E78AC3","Shape",TRUE
"186","SizeZoneNonUniformityNormalized_glszm_MYO_ES","heart_texture_SizeZoneNonUniformityNormalized_glszm_MYO_ES","de",":=","c","de",-0.0359611629029892,0.0107961753800845,-3.33091688833865,0.000865604423530675,-0.0571212778187328,-0.0148010479872457,0.00150190966202011,136,"#E78AC3","Shape",TRUE
"187","Skewness_MYO_ED","heart_intensity_Skewness_MYO_ED","de",":=","c","de",-0.0377180124460485,0.0107633828461589,-3.50428977442802,0.000457826884086243,-0.0588138551763361,-0.0166221697157609,0.000999588696921631,113,"#E78AC3","Shape",TRUE
"188","Skewness_MYO_ES","heart_intensity_Skewness_MYO_ES","de",":=","c","de",-0.0383547962651715,0.0109074362045962,-3.51638969467539,0.000437458389352274,-0.0597329783898484,-0.0169766141404946,0.000979607675301674,112,"#E78AC3","Shape",TRUE
"189","SmallAreaEmphasis_glszm_MYO_ED","heart_texture_SmallAreaEmphasis_glszm_MYO_ED","de",":=","c","de",-0.0258884670004757,0.0110170912460947,-2.34984592776723,0.0187811833315095,-0.0474815690572128,-0.00429536494373855,0.0235555997344108,125,"#E78AC3","Shape",TRUE
"190","SmallAreaEmphasis_glszm_MYO_ES","heart_texture_SmallAreaEmphasis_glszm_MYO_ES","de",":=","c","de",-0.0357360611969557,0.0107965294142823,-3.30995821209748,0.000933099006655613,-0.0568968700069764,-0.0145752523869351,0.00160836802463007,137,"#E78AC3","Shape",TRUE
"191","SmallAreaHighGrayLevelEmphasis_glszm_MYO_ED","heart_texture_SmallAreaHighGrayLevelEmphasis_glszm_MYO_ED","de",":=","c","de",-0.0120531641591626,0.012068656739584,-0.998716296207959,0.317932144078511,-0.0357072967105239,0.0116009683921987,0.330548499002261,212,"#FFD92F","Global Intensity",FALSE
"192","SmallAreaHighGrayLevelEmphasis_glszm_MYO_ES","heart_texture_SmallAreaHighGrayLevelEmphasis_glszm_MYO_ES","de",":=","c","de",-0.0174287195263424,0.0118680878964294,-1.46853643808839,0.141958565980662,-0.0406897443686998,0.00583230531601497,0.151191643442819,232,"#FFD92F","Global Intensity",FALSE
"193","SmallAreaLowGrayLevelEmphasis_glszm_MYO_ED","heart_texture_SmallAreaLowGrayLevelEmphasis_glszm_MYO_ED","de",":=","c","de",-0.0260977236172322,0.0115196852388686,-2.26548929732696,0.0234826700647204,-0.0486758917986524,-0.00351955543581201,0.0285194035008986,51,"#FC8D62","Local Dimness",TRUE
"194","SmallAreaLowGrayLevelEmphasis_glszm_MYO_ES","heart_texture_SmallAreaLowGrayLevelEmphasis_glszm_MYO_ES","de",":=","c","de",-0.0233004656537002,0.0115787062479629,-2.01235484817655,0.0441825445066468,-0.0459943128872763,-0.000606618420124071,0.0514481184921843,55,"#FC8D62","Local Dimness",FALSE
"195","SmallDependenceEmphasis_gldm_MYO_ED","heart_texture_SmallDependenceEmphasis_gldm_MYO_ED","de",":=","c","de",-0.0482803836658464,0.011496530919325,-4.19956106799922,2.67432897522735e-05,-0.0708131702148744,-0.0257475971168183,0.000141721313720256,151,"#A6D854","Global Variance",TRUE
"196","SmallDependenceEmphasis_gldm_MYO_ES","heart_texture_SmallDependenceEmphasis_gldm_MYO_ES","de",":=","c","de",-0.0466127050702771,0.0111778051234079,-4.17011251812427,3.04449287029662e-05,-0.0685208005383639,-0.0247046096021902,0.00015050134566372,148,"#A6D854","Global Variance",TRUE
"197","SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ED","heart_texture_SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ED","de",":=","c","de",-0.0315158312545808,0.0118657751257969,-2.65602802349283,0.00790670436112428,-0.054772323149794,-0.00825933935936758,0.0106233668852029,208,"#FFD92F","Global Intensity",TRUE
"198","SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ES","heart_texture_SmallDependenceHighGrayLevelEmphasis_gldm_MYO_ES","de",":=","c","de",-0.0322143143608178,0.0117369096654612,-2.74470156787662,0.0060565947232416,-0.0552182345949219,-0.00921039412671367,0.0083079990444466,207,"#FFD92F","Global Intensity",TRUE
"199","SmallDependenceLowGrayLevelEmphasis_gldm_MYO_ED","heart_texture_SmallDependenceLowGrayLevelEmphasis_gldm_MYO_ED","de",":=","c","de",-0.0227568946987307,0.0112048892297354,-2.03097899784129,0.0422571251403834,-0.0447180740397728,-0.000795715357688583,0.0494257445838413,45,"#FC8D62","Local Dimness",TRUE
"200","SmallDependenceLowGrayLevelEmphasis_gldm_MYO_ES","heart_texture_SmallDependenceLowGrayLevelEmphasis_gldm_MYO_ES","de",":=","c","de",-0.0205948325537958,0.0113463198284113,-1.81511123124047,0.0695068175552347,-0.0428332107745547,0.00164354566696309,0.0784947681011702,52,"#FC8D62","Local Dimness",FALSE
"201","Sphericity_LV_ED","heart_shape_Sphericity_LV_ED","de",":=","c","de",-0.0273777085449985,0.0110535690216692,-2.47682069848461,0.0132558476383677,-0.0490423057280977,-0.0057131113618993,0.0171932281250116,142,"#E78AC3","Shape",TRUE
"202","Sphericity_LV_ES","heart_shape_Sphericity_LV_ES","de",":=","c","de",-0.029525460434093,0.0110901026570082,-2.66232525949026,0.00776028504127546,-0.051261662226681,-0.00778925864150493,0.0104803849526504,143,"#E78AC3","Shape",TRUE
"203","Sphericity_RV_ED","heart_shape_Sphericity_RV_ED","de",":=","c","de",-0.0375623587320803,0.0110622989713474,-3.39552915984021,0.000684960772405097,-0.0592440663021356,-0.015880651162025,0.00127276398844068,141,"#E78AC3","Shape",TRUE
"204","Sphericity_RV_ES","heart_shape_Sphericity_RV_ES","de",":=","c","de",-0.0379606433073944,0.010895144586062,-3.48417985714086,0.000493647637122674,-0.0593147343024325,-0.0166065523123564,0.00104147802528118,139,"#E78AC3","Shape",TRUE
