"","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","heart_shape_Volume_LV_ED","heart_shape_Volume_LV_ED","~","cardio_latent_gvrf","a",-0.327771919736415,0.0095324773267095,-34.3847573408871,0,-0.34645523198021,-0.30908860749262
"2","heart_shape_Volume_LV_ED","heart_shape_Volume_LV_ED","~","cov_age","",-0.135567518578639,0.0084707805595951,-16.0041353479613,0,-0.152169943396388,-0.118965093760891
"3","heart_shape_Volume_LV_ED","heart_shape_Volume_LV_ED","~","cov_sex","",0.403951022471374,0.00902527716035845,44.7577415401314,0,0.38626180428658,0.421640240656169
"4","heart_shape_Volume_LV_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0232458095715369,0.0112339430513215,-2.06924758878872,0.0385228590985471,-0.045263933356501,-0.00122768578657269
"5","heart_shape_Volume_LV_ED","cog_latent_g","~","heart_shape_Volume_LV_ED","b",0.0418831569903387,0.00976897748830743,4.28736344622239,1.80806335479122e-05,0.0227363129474736,0.0610300010332038
"6","heart_shape_Volume_LV_ED","cog_latent_g","~","cov_age","",-0.171709342145475,0.0090706787220349,-18.9301536750884,0,-0.189487545755997,-0.153931138534953
"7","heart_shape_Volume_LV_ED","cog_latent_g","~","cov_sex","",0.0847155778818627,0.0112404486894319,7.53667226482793,4.81836792687318e-14,0.0626847032805058,0.10674645248322
"8","heart_shape_Volume_LV_ED","de",":=","c","de",-0.0232458095715369,0.0112339430513215,-2.06924758878872,0.0385228590985471,-0.045263933356501,-0.00122768578657269
"9","heart_shape_Volume_LV_ED","ie",":=","a*b","ie",-0.013728122771345,0.0032285092624177,-4.25215530001749,2.1172294971894e-05,-0.0200558846494376,-0.0074003608932523
"10","heart_shape_Volume_LV_ED","te",":=","c+a*b","te",-0.0369739323428818,0.0107709612555993,-3.43274211701959,0.000597510124443978,-0.0580846284827327,-0.0158632362030309
"11","heart_shape_Volume_LV_ED","pm",":=","100*(a*b)/(c+a*b)","pm",37.1291931949129,13.8778957415386,2.67541952226805,0.00746357898852223,9.92901736029551,64.3293690295302
"12","heart_shape_SurfaceArea_LV_ED","heart_shape_SurfaceArea_LV_ED","~","cardio_latent_gvrf","a",-0.27485034446336,0.00985198439994775,-27.8979678921149,0,-0.294159879063508,-0.255540809863211
