"","features","mediator","lhs","op","rhs","label","est.std","se","z","pvalue","ci.lower","ci.upper","pvalue_adj","Number","cluster","nickname","sig"
"116","LowGrayLevelEmphasis_gldm_MYO_ES","heart_texture_LowGrayLevelEmphasis_gldm_MYO_ES","ie",":=","a*b","ie",-0.01536627562864,0.00449366412889133,-3.41954253542113,0.000627265249646403,-0.0241736954798866,-0.00655885577739347,0.00179722065909924,44,"#FC8D62","Local Dimness",TRUE
"117","LowGrayLevelRunEmphasis_glrlm_MYO_ED","heart_texture_LowGrayLevelRunEmphasis_glrlm_MYO_ED","ie",":=","a*b","ie",-0.014706257156359,0.00476089101976938,-3.08897160117548,0.00200850637139349,-0.0240374320894271,-0.00537508222329084,0.00507098143272614,49,"#FC8D62","Local Dimness",TRUE
"118","LowGrayLevelRunEmphasis_glrlm_MYO_ES","heart_texture_LowGrayLevelRunEmphasis_glrlm_MYO_ES","ie",":=","a*b","ie",-0.0151063118155982,0.00452007742502107,-3.3420471366213,0.000831629368227116,-0.0239655007759721,-0.00624712285522438,0.00230505966193385,47,"#FC8D62","Local Dimness",TRUE
"119","LowGrayLevelZoneEmphasis_glszm_MYO_ED","heart_texture_LowGrayLevelZoneEmphasis_glszm_MYO_ED","ie",":=","a*b","ie",-0.0194709781218755,0.00345773600969808,-5.63113495861579,1.79027563884659e-08,-0.026248016168931,-0.01269394007482,2.07509221775401e-07,50,"#FC8D62","Local Dimness",TRUE
"120","LowGrayLevelZoneEmphasis_glszm_MYO_ES","heart_texture_LowGrayLevelZoneEmphasis_glszm_MYO_ES","ie",":=","a*b","ie",-0.0197303953682502,0.00379429373468532,-5.20001790791416,1.99269326150997e-07,-0.0271670744349994,-0.012293716301501,1.30291482483344e-06,54,"#FC8D62","Local Dimness",TRUE
"121","MajorAxis_LV_ED","heart_shape_MajorAxis_LV_ED","ie",":=","a*b","ie",-0.00597598252592518,0.00228643875828991,-2.61366393666052,0.00895770979553068,-0.0104573201450299,-0.00149464490682048,0.0193577626937315,35,"#66C2A5","Size",TRUE
"122","MajorAxis_LV_ES","heart_shape_MajorAxis_LV_ES","ie",":=","a*b","ie",-0.00710676794414088,0.00217376408317119,-3.26933727498763,0.00107799722256585,-0.0113672672580431,-0.00284626863023861,0.00280499277300298,26,"#66C2A5","Size",TRUE
"123","MajorAxis_RV_ED","heart_shape_MajorAxis_RV_ED","ie",":=","a*b","ie",-0.0231040756967679,0.00432490397025781,-5.34210143292283,9.18752178780124e-08,-0.0315807317150675,-0.0146274196784683,7.09944865421005e-07,17,"#66C2A5","Size",TRUE
"124","MajorAxis_RV_ES","heart_shape_MajorAxis_RV_ES","ie",":=","a*b","ie",-0.0066382484762263,0.00310732133523133,-2.13632507232539,0.0326529266303137,-0.0127284863816726,-0.000548010570779982,0.060336929642971,8,"#66C2A5","Size",FALSE
"125","Max2DdiameterColumn_LV_ED","heart_shape_Max2DdiameterColumn_LV_ED","ie",":=","a*b","ie",-0.0102168365179198,0.00269596149553346,-3.78968191305645,0.000150840313962064,-0.0155008239528721,-0.00493284908296745,0.000486889621016789,37,"#66C2A5","Size",TRUE
"126","Max2DdiameterColumn_LV_ES","heart_shape_Max2DdiameterColumn_LV_ES","ie",":=","a*b","ie",-0.00990220573436017,0.00240924721323305,-4.11008288396942,3.95517125413303e-05,-0.0146242435021504,-0.0051801679665699,0.000142051925324496,28,"#66C2A5","Size",TRUE
"127","Max2DdiameterColumn_RV_ED","heart_shape_Max2DdiameterColumn_RV_ED","ie",":=","a*b","ie",-0.0121606713668562,0.0023659162424892,-5.1399416211209,2.7482384123978e-07,-0.0167977819925734,-0.00752356074113905,1.69794285425391e-06,19,"#66C2A5","Size",TRUE
"128","Max2DdiameterColumn_RV_ES","heart_shape_Max2DdiameterColumn_RV_ES","ie",":=","a*b","ie",-0.00813607032061246,0.00207287829209505,-3.92501110732814,8.67257361991669e-05,-0.0121988371174537,-0.00407330352377126,0.000294867503077167,10,"#66C2A5","Size",TRUE
"129","Max2DdiameterRow_LV_ED","heart_shape_Max2DdiameterRow_LV_ED","ie",":=","a*b","ie",-0.00773762663560936,0.00240809335718912,-3.21317552432486,0.00131276036102235,-0.0124574028871102,-0.00301785038410855,0.00338135244505756,36,"#66C2A5","Size",TRUE
"130","Max2DdiameterRow_LV_ES","heart_shape_Max2DdiameterRow_LV_ES","ie",":=","a*b","ie",-0.00921113277166543,0.00217497211763434,-4.2350578644126,2.28492860310237e-05,-0.0134739997896076,-0.00494826575372331,8.69637005658363e-05,27,"#66C2A5","Size",TRUE
"131","Max2DdiameterRow_RV_ED","heart_shape_Max2DdiameterRow_RV_ED","ie",":=","a*b","ie",-0.00609838644591275,0.00244148525255829,-2.49781826022607,0.0124960239373599,-0.0108836096097127,-0.00131316328211282,0.026098895949135,18,"#66C2A5","Size",TRUE
"132","Max2DdiameterRow_RV_ES","heart_shape_Max2DdiameterRow_RV_ES","ie",":=","a*b","ie",-0.00488764043272621,0.00210024757136283,-2.32717347200867,0.019956034330479,-0.00900405003121507,-0.000771230834237346,0.0391445288790165,9,"#66C2A5","Size",TRUE
"133","Max2DdiameterSlice_LV_ED","heart_shape_Max2DdiameterSlice_LV_ED","ie",":=","a*b","ie",-0.000232494037605343,0.00108174964758884,-0.214924070577291,0.829826517791623,-0.00235268438716836,0.00188769631195767,0.857143360435341,38,"#66C2A5","Size",FALSE
"134","Max2DdiameterSlice_LV_ES","heart_shape_Max2DdiameterSlice_LV_ES","ie",":=","a*b","ie",-0.00073413803131239,0.000985421774145935,-0.744998791962627,0.456272450179236,-0.00266552921821999,0.00119725315559521,0.54368913455937,29,"#66C2A5","Size",FALSE
"135","Max2DdiameterSlice_RV_ED","heart_shape_Max2DdiameterSlice_RV_ED","ie",":=","a*b","ie",-0.0189341238152617,0.00390056273446265,-4.85420312509603,1.20871794595523e-06,-0.0265790862942476,-0.0112891613362758,6.16446152437167e-06,20,"#66C2A5","Size",TRUE
"136","Max2DdiameterSlice_RV_ES","heart_shape_Max2DdiameterSlice_RV_ES","ie",":=","a*b","ie",-0.00315665379253992,0.00224138968794713,-1.40834670986243,0.159028430697854,-0.00754969685623576,0.00123638927115591,0.2330589070572,11,"#66C2A5","Size",FALSE
"137","Max3Ddiameter_LV_ED","heart_shape_Max3Ddiameter_LV_ED","ie",":=","a*b","ie",-0.00569060105856107,0.00229686941888551,-2.47754661704811,0.0132289126221017,-0.0101923823967681,-0.00118881972035403,0.0269869817490874,39,"#66C2A5","Size",TRUE
"138","Max3Ddiameter_LV_ES","heart_shape_Max3Ddiameter_LV_ES","ie",":=","a*b","ie",-0.00681193564619634,0.00206912887634583,-3.29217562234524,0.000994155087602921,-0.010867353723206,-0.00275651756918669,0.00266852155093416,30,"#66C2A5","Size",TRUE
"139","Max3Ddiameter_RV_ED","heart_shape_Max3Ddiameter_RV_ED","ie",":=","a*b","ie",-0.0118100156150994,0.00339687248021086,-3.47673210693098,0.00050756468691171,-0.0184677633363879,-0.00515226789381084,0.00148768959956881,21,"#66C2A5","Size",TRUE
"140","Max3Ddiameter_RV_ES","heart_shape_Max3Ddiameter_RV_ES","ie",":=","a*b","ie",-0.00649410181175377,0.00261314726698536,-2.48516487907153,0.0129491443989205,-0.0116157763413443,-0.00137242728216319,0.0266292888848768,12,"#66C2A5","Size",TRUE
"141","Maximum_MYO_ED","heart_intensity_Maximum_MYO_ED","ie",":=","a*b","ie",-0.0184844040169964,0.00296382427464991,-6.23667340034179,4.46973791312644e-10,-0.0242933928518158,-0.012675415182177,8.14130834176601e-09,205,"#FFD92F","Global Intensity",TRUE
"142","Maximum_MYO_ES","heart_intensity_Maximum_MYO_ES","ie",":=","a*b","ie",-0.0279221846728355,0.00426889785936751,-6.54084159253519,6.1173510701451e-11,-0.0362890707308759,-0.019555298614795,1.559924522887e-09,123,"#E78AC3","Shape",TRUE
"143","MaximumProbability_glcm_MYO_ED","heart_texture_MaximumProbability_glcm_MYO_ED","ie",":=","a*b","ie",0.000346470498675497,0.000479476813310259,0.722601154127766,0.469924958976548,-0.000593286786834646,0.00128622778418564,0.552196465402911,90,"#8DA0CB","Local Uniformity",FALSE
"144","MaximumProbability_glcm_MYO_ES","heart_texture_MaximumProbability_glcm_MYO_ES","ie",":=","a*b","ie",0.00039472836218074,0.000782334745169895,0.504551746701495,0.613873708470177,-0.00113861956220658,0.00192807628656806,0.677652795064482,86,"#8DA0CB","Local Uniformity",FALSE
"145","Mean_MYO_ED","heart_intensity_Mean_MYO_ED","ie",":=","a*b","ie",-0.026759372982352,0.00527326440432163,-5.07453655470447,3.88441555809749e-07,-0.0370947812957794,-0.0164239646689245,2.25119538026104e-06,200,"#FFD92F","Global Intensity",TRUE
"146","Mean_MYO_ES","heart_intensity_Mean_MYO_ES","ie",":=","a*b","ie",-0.0452261422973379,0.00599716198082949,-7.5412574217451,4.66293670342566e-14,-0.0569803637892166,-0.0334719208054592,3.96349619791181e-12,195,"#FFD92F","Global Intensity",TRUE
"147","MeanAbsoluteDeviation_MYO_ED","heart_intensity_MeanAbsoluteDeviation_MYO_ED","ie",":=","a*b","ie",-0.00217016561745406,0.000887048863914591,-2.44650064470745,0.0144250539412809,-0.00390874944325383,-0.000431581791654291,0.0289494337026288,174,"#A6D854","Global Variance",TRUE
"148","MeanAbsoluteDeviation_MYO_ES","heart_intensity_MeanAbsoluteDeviation_MYO_ES","ie",":=","a*b","ie",-0.00585790896085192,0.00218975293023978,-2.67514607696425,0.00746966955596373,-0.0101497458391629,-0.0015660720825409,0.0162800490322286,226,"#FFD92F","Global Intensity",TRUE
"149","Median_MYO_ED","heart_intensity_Median_MYO_ED","ie",":=","a*b","ie",-0.0221649005512299,0.00515733465797016,-4.29774331533366,1.72545809595803e-05,-0.0322730907370716,-0.0120567103653881,6.66654264347422e-05,199,"#FFD92F","Global Intensity",TRUE
"150","Median_MYO_ES","heart_intensity_Median_MYO_ES","ie",":=","a*b","ie",-0.0455092706527244,0.00588254729000232,-7.73632040834924,1.02140518265514e-14,-0.0570388514784827,-0.0339796898269662,2.60458321577062e-12,194,"#FFD92F","Global Intensity",TRUE
"151","Minimum_MYO_ED","heart_intensity_Minimum_MYO_ED","ie",":=","a*b","ie",-0.0152998700790029,0.00287816105453895,-5.31584917907028,1.06161056612208e-07,-0.0209409620876051,-0.00965877807040078,7.7345912674609e-07,116,"#E78AC3","Shape",TRUE
"152","Minimum_MYO_ES","heart_intensity_Minimum_MYO_ES","ie",":=","a*b","ie",-0.0151659752685387,0.002757569747603,-5.4997612596097,3.8030582238946e-08,-0.0205707126586978,-0.00976123787837961,3.87911938837249e-07,117,"#E78AC3","Shape",TRUE
"153","MinorAxis_LV_ED","heart_shape_MinorAxis_LV_ED","ie",":=","a*b","ie",-0.00409344754277245,0.00208962542544551,-1.95893842644058,0.0501199981695755,-0.00818903811782484,2.14303227993439e-06,0.0857758357935687,34,"#66C2A5","Size",FALSE
"154","MinorAxis_LV_ES","heart_shape_MinorAxis_LV_ES","ie",":=","a*b","ie",-0.0019195887080643,0.00191323777244702,-1.00331947011957,0.315706744925146,-0.00566946583592209,0.0018302884197935,0.406494830667819,25,"#66C2A5","Size",FALSE
"155","MinorAxis_RV_ED","heart_shape_MinorAxis_RV_ED","ie",":=","a*b","ie",-0.0204606708350045,0.00318158252253359,-6.43097285394662,1.26789911902847e-10,-0.0266964579930124,-0.0142248836769966,2.6942856279355e-09,16,"#66C2A5","Size",TRUE
"156","MinorAxis_RV_ES","heart_shape_MinorAxis_RV_ES","ie",":=","a*b","ie",-0.0158699402609238,0.00264168370919964,-6.00750960671668,1.88394655431523e-09,-0.0210475451895013,-0.0106923353323463,3.20270914233589e-08,7,"#66C2A5","Size",TRUE
"157","Percentile10_MYO_ED","heart_intensity_Percentile10_MYO_ED","ie",":=","a*b","ie",-0.0262864634447776,0.00516642674747021,-5.08793886560939,3.61976009166654e-07,-0.0364124737985836,-0.0161604530909716,2.1466019148255e-06,201,"#FFD92F","Global Intensity",TRUE
"158","Percentile10_MYO_ES","heart_intensity_Percentile10_MYO_ES","ie",":=","a*b","ie",-0.0387320547670524,0.00564594829635322,-6.86015045374572,6.87871981597254e-12,-0.04979791008648,-0.0276661994476248,2.57295613386483e-10,197,"#FFD92F","Global Intensity",TRUE
"159","Percentile90_MYO_ED","heart_intensity_Percentile90_MYO_ED","ie",":=","a*b","ie",-0.0255589961161959,0.0047370317981309,-5.39557199643051,6.83055956240963e-08,-0.0348434078341535,-0.0162745843982383,5.61868609165954e-07,202,"#FFD92F","Global Intensity",TRUE
"160","Percentile90_MYO_ES","heart_intensity_Percentile90_MYO_ES","ie",":=","a*b","ie",-0.0377943664051955,0.00569428950684854,-6.63724005597891,3.1961100432909e-11,-0.048954968756163,-0.0266337640542281,9.05564512265755e-10,196,"#FFD92F","Global Intensity",TRUE
"161","Range_MYO_ED","heart_intensity_Range_MYO_ED","ie",":=","a*b","ie",-0.0154783549007292,0.00268818196887656,-5.75792676237536,8.51532822032652e-09,-0.0207470947436172,-0.0102096150578412,1.14284668220172e-07,206,"#FFD92F","Global Intensity",TRUE
"162","Range_MYO_ES","heart_intensity_Range_MYO_ES","ie",":=","a*b","ie",-0.0218960326522368,0.00390210850353289,-5.6113336244783,2.00773262459819e-08,-0.0295440247829287,-0.0142480405215448,2.13321591363558e-07,120,"#E78AC3","Shape",TRUE
"163","RobustMeanAbsoluteDeviation_MYO_ED","heart_intensity_RobustMeanAbsoluteDeviation_MYO_ED","ie",":=","a*b","ie",-0.000251232966796207,0.000240469833624935,-1.04475876665702,0.296134476467951,-0.000722545180069419,0.000220079246477006,0.387252776919628,173,"#A6D854","Global Variance",FALSE
"164","RobustMeanAbsoluteDeviation_MYO_ES","heart_intensity_RobustMeanAbsoluteDeviation_MYO_ES","ie",":=","a*b","ie",-0.00494206499752607,0.00194358798356792,-2.54275342269493,0.01099828128859,-0.00875142744610402,-0.00113270254894812,0.0235677456184072,225,"#FFD92F","Global Intensity",TRUE
"165","RootMeanSquared_MYO_ED","heart_intensity_RootMeanSquared_MYO_ED","ie",":=","a*b","ie",-0.0269257628509804,0.00518484235103856,-5.1931690547133,2.06744290576211e-07,-0.0370878671245339,-0.0167636585774268,1.31799485242334e-06,198,"#FFD92F","Global Intensity",TRUE
"166","RootMeanSquared_MYO_ES","heart_intensity_RootMeanSquared_MYO_ES","ie",":=","a*b","ie",-0.0451540096063065,0.005987793984781,-7.54100921325502,4.66293670342566e-14,-0.0568898701633228,-0.0334181490492902,3.96349619791181e-12,193,"#FFD92F","Global Intensity",TRUE
"167","RunEntropy_glrlm_MYO_ED","heart_texture_RunEntropy_glrlm_MYO_ED","ie",":=","a*b","ie",-0.0122586444731268,0.00224850510639601,-5.45190866511993,4.98320498198979e-08,-0.0166656335007174,-0.00785165544553624,4.5382759657407e-07,190,"#FFD92F","Global Intensity",TRUE
