"","PC1","PC2","PC3"
"brain_bio.weighted.mean_md_in_tract_forceps_minor.0.imaging",0.0914701322808418,-0.0365633830890225,-0.0143466735677805
"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",0.110913955279496,-0.0216614773673527,0.0353860841009184
"brain_bio.weighted.mean_md_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.112424367429202,-0.0329217260588204,0.0147946937677016
"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.106323194957374,-0.0208130998577533,0.0459098205017627
"brain_bio.weighted.mean_md_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.110669502388274,-0.0305063980295843,0.0215321016621223
"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.0844027890327785,-0.056588810548408,-0.0225377535565629
"brain_bio.weighted.mean_md_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.0881615035921067,-0.0647028824085453,-0.0386533539086683
"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.11068905712665,-0.0325556284572276,-0.0122087704073756
"brain_bio.weighted.mean_md_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.109543884843475,-0.0352222454107059,-0.0271318181011535
"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.left..0.imaging",0.0965754155953974,-0.0527403917887063,-0.0854455289511279
"brain_bio.weighted.mean_md_in_tract_superior_thalamic_radiation_.right..0.imaging",0.0938024030282529,-0.0553538625911286,-0.0870499756070128
"brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.right..0.imaging",0.0931358263151468,0.0140258997356561,0.012364723155058
"brain_bio.weighted.mean_mo_in_tract_acoustic_radiation_.left..0.imaging",0.000344657137537951,-0.0299175333869282,-0.0133894267845745
"brain_bio.weighted.mean_mo_in_tract_acoustic_radiation_.right..0.imaging",-0.00108316163169425,-0.0316805353197073,-0.0107156835727771
"brain_bio.weighted.mean_mo_in_tract_anterior_thalamic_radiation_.left..0.imaging",-0.00371221025980082,-0.0399685672143336,0.0171674818795223
"brain_bio.weighted.mean_mo_in_tract_anterior_thalamic_radiation_.right..0.imaging",-0.00601637554932539,-0.0429181970894884,0.0287280892170348
"brain_bio.weighted.mean_mo_in_tract_cingulate_gyrus_part_of_cingulum_.left..0.imaging",-0.0259599085678903,-0.0501949782486616,0.0620358751014664
"brain_bio.weighted.mean_mo_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",-0.0242805589720489,-0.052384558532617,0.0424637649788576
"brain_bio.weighted.mean_mo_in_tract_corticospinal_tract_.left..0.imaging",-0.00107954931469667,-0.0671418284321837,0.000223588969375157
"brain_bio.weighted.mean_mo_in_tract_corticospinal_tract_.right..0.imaging",-0.00183947231870259,-0.068775215159413,0.013250644527355
"brain_bio.weighted.mean_mo_in_tract_forceps_major.0.imaging",-0.0091448213223015,-0.0178483827658162,0.0245651323077208
"brain_bio.weighted.mean_mo_in_tract_forceps_minor.0.imaging",-0.0175788914716076,-0.030399210609247,0.0217723753161956
"brain_bio.weighted.mean_mo_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.0162839701535054,-0.0717455025944064,0.0570539697234041
"brain_bio.weighted.mean_mo_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",-0.0128249944455594,-0.0717971042342957,0.0519374159959555
"brain_bio.weighted.mean_mo_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",-0.0123082693104748,-0.0812918132495465,0.0575834814512571
"brain_bio.weighted.mean_mo_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",-0.00903017482921936,-0.0828375897394272,0.0614739501382312
"brain_bio.weighted.mean_mo_in_tract_posterior_thalamic_radiation_.left..0.imaging",-0.00319972534305978,-0.0600293181872509,0.07667621004741
"brain_bio.weighted.mean_mo_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.00115519827172136,-0.0599453982253154,0.0629612587740444
