"","PC1","PC2","PC3"
"brain_bio.weighted.mean_isovf_in_tract_inferior_fronto.occipital_fasciculus_.right..0.imaging",0.0191279508973613,-0.107041070386168,-0.165086621073823
"brain_bio.weighted.mean_isovf_in_tract_inferior_longitudinal_fasciculus_.left..0.imaging",0.0271594622253612,-0.0949119569535765,-0.129965451356446
"brain_bio.weighted.mean_isovf_in_tract_inferior_longitudinal_fasciculus_.right..0.imaging",0.0281294768406608,-0.101515494988964,-0.165852274459293
"brain_bio.weighted.mean_isovf_in_tract_posterior_thalamic_radiation_.left..0.imaging",0.0281435476461266,-0.0875243648152029,-0.136697709450658
"brain_bio.weighted.mean_isovf_in_tract_posterior_thalamic_radiation_.right..0.imaging",0.0263919141813724,-0.0931850308680607,-0.161340891590803
"brain_bio.weighted.mean_isovf_in_tract_superior_longitudinal_fasciculus_.left..0.imaging",0.049126278280158,-0.0986084444147576,-0.149811623428841
"brain_bio.weighted.mean_isovf_in_tract_superior_longitudinal_fasciculus_.right..0.imaging",0.0480360022668702,-0.103403604511034,-0.163730857162796
"brain_bio.weighted.mean_isovf_in_tract_superior_thalamic_radiation_.left..0.imaging",0.0412762654035936,-0.0950138387455227,-0.179183521682065
"brain_bio.weighted.mean_isovf_in_tract_superior_thalamic_radiation_.right..0.imaging",0.0402450724976509,-0.0964759879302083,-0.176111045346941
"brain_bio.weighted.mean_isovf_in_tract_uncinate_fasciculus_.left..0.imaging",0.0195671982317142,-0.0235463535037528,-0.103685201669214
"brain_bio.weighted.mean_isovf_in_tract_uncinate_fasciculus_.right..0.imaging",0.0161237998063005,-0.0589733536270851,-0.122204841319793
"brain_bio.weighted.mean_md_in_tract_cingulate_gyrus_part_of_cingulum_.right..0.imaging",0.0843268163029688,-0.0281102470468334,-0.0277067291905722
"brain_bio.weighted.mean_md_in_tract_uncinate_fasciculus_.left..0.imaging",0.0812183009385262,0.0292677303713189,0.012115056247459
"brain_bio.weighted.mean_fa_in_tract_inferior_fronto.occipital_fasciculus_.left..0.imaging",-0.0901292279635429,-0.0860568544745369,-0.0119849191202813
