"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"221","heart_latent_cc1","ie11",":=","a11*b11","ie11",-0.00454811426344786,0.471113167727369,-0.0169173707605175,0.00782114223362177,0.471113167727369,FALSE
"222","heart_latent_cc2","ie12",":=","a12*b12","ie12",-0.0241198459119396,0.00319504260543391,-0.0401540620313336,-0.00808562979254555,0.00319504260543391,TRUE
"223","heart_latent_cc3","ie13",":=","a13*b13","ie13",0.00411010867779445,0.554894103188731,-0.00953333091474564,0.0177535482703345,0.554894103188731,FALSE
"224","brain_latent_cc1","ie14",":=","a14*b14","ie14",-0.00457972622820214,0.0736298065073688,-0.00959737043622345,0.000437917979819165,0.0736298065073688,FALSE
"225","brain_latent_cc2","ie15",":=","a15*b15","ie15",-0.0235451100050275,1.51511924117997e-05,-0.0342114209270288,-0.0128787990830263,1.51511924117997e-05,TRUE
"226","brain_latent_cc3","ie16",":=","a16*b16","ie16",-0.00250337328247917,0.476998861340437,-0.00940291036423106,0.00439616379927272,0.476998861340437,FALSE
"227","heart_latent_pc1","pm1",":=","(a1*b1)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm1",-1.181147331469,0.00369651705459506,-1.97861088003986,-0.383683782898134,0.00369651705459506,TRUE
"228","heart_latent_pc2","pm2",":=","(a2*b2)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm2",1.00240137018386,0.00606507159399894,0.286476817983096,1.71832592238462,0.00606507159399894,TRUE
"229","heart_latent_pc3","pm3",":=","(a3*b3)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm3",-0.0152304574354447,0.868245336703525,-0.195178399199877,0.164717484328988,0.868245336703525,FALSE
"230","brain_latent_grey","pm4",":=","(a4*b4)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm4",0.0356034447897843,0.531038335716471,-0.0757934975571009,0.14700038713667,0.531038335716471,FALSE
"231","brain_latent_atrophy","pm5",":=","(a5*b5)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm5",0.082562556093557,0.051144565366158,-0.000410605340107006,0.165535717527221,0.051144565366158,FALSE
"232","brain_latent_gMD","pm6",":=","(a6*b6)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm6",-0.0883759697760662,0.278622267489568,-0.248252840239328,0.071500900687196,0.278622267489568,FALSE
"233","brain_latent_gFA","pm7",":=","(a7*b7)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm7",-0.0666093082360143,0.123741709785966,-0.151424186307166,0.0182055698351375,0.123741709785966,FALSE
"234","brain_latent_pc1","pm8",":=","(a8*b8)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm8",0.173279376282841,0.101035617719244,-0.0338252969973555,0.380384049563038,0.101035617719244,FALSE
"235","brain_latent_pc2","pm9",":=","(a9*b9)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm9",-0.0242964658372466,0.243239171745945,-0.0651046135154533,0.0165116818409601,0.243239171745945,FALSE
"236","brain_latent_pc3","pm10",":=","(a10*b10)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm10",0.0544795320877319,0.0376012016394818,0.00312364171812749,0.105835422457336,0.0376012016394818,TRUE
"237","heart_latent_cc1","pm11",":=","(a11*b11)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm11",0.124141657406767,0.480938365164996,-0.221084230331495,0.469367545145029,0.480938365164996,FALSE
"238","heart_latent_cc2","pm12",":=","(a12*b12)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm12",0.658355853538757,0.0256412870235305,0.0801372334386513,1.23657447363886,0.0256412870235305,TRUE
"239","heart_latent_cc3","pm13",":=","(a13*b13)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm13",-0.112186210334244,0.560748500616169,-0.490163791006308,0.265791370337819,0.560748500616169,FALSE
"240","brain_latent_cc1","pm14",":=","(a14*b14)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm14",0.125004512091404,0.114608153963607,-0.0302762823764908,0.280285306559299,0.114608153963607,FALSE
"241","brain_latent_cc2","pm15",":=","(a15*b15)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm15",0.642668325934481,0.00715492637338921,0.174333995223933,1.11100265664503,0.00715492637338921,TRUE
"242","brain_latent_cc3","pm16",":=","(a16*b16)/(c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16)","pm16",0.0683300573365962,0.486367624888053,-0.124063114919526,0.260723229592719,0.486367624888053,FALSE
"243","total","te",":=","c+a1*b1+a2*b2+a3*b3+a4*b4+a5*b5+a6*b6+a7*b7+a8*b8+a9*b9+a10*b10+a11*b11+a12*b12+a13*b13+a14*b14+a15*b15+a16*b16","te",-0.0366364873681793,0.000663122946099604,-0.0577287303720446,-0.015544244364314,0.000663122946099604,TRUE
