"","lhs","rhs","est.std","pvalue","ci.lower","ci.upper","pvalue_adj"
"1","cardio_latent_agg","cov_age",0.219839835559214,0,0.20360665722895,0.236073013889477,0
"2","cardio_latent_agg","cov_sex",0.261580236768749,0,0.245599831064811,0.277560642472687,0
"3","cardio_latent_gvrf","cov_age",0.170434682156756,0,0.155761769989085,0.185107594324426,0
"4","cardio_latent_gvrf","cov_sex",0.516107108035563,0,0.50410568849798,0.528108527573145,0
"5","cog_latent_g","cov_age",-0.182576512716285,0,-0.199772696387885,-0.165380329044685,0
"6","cog_latent_g","cov_sex",0.0828371057884177,0,0.0652915618289829,0.100382649747853,0
"7","heart_latent_pc1","cov_age",-0.0226447255315352,0.00146808842011681,-0.0365975646938564,-0.00869188636921403,0.0015871226163425
"8","heart_latent_pc1","cov_sex",0.63158069958533,0,0.621877938326887,0.641283460843772,0
"9","heart_latent_pc2","cov_age",-0.182252929795608,0,-0.197993075062484,-0.166512784528732,0
"10","heart_latent_pc2","cov_sex",0.416468198271028,0,0.402435609621116,0.43050078692094,0
"11","heart_latent_pc3","cov_age",-0.127038899143878,0,-0.144605983064426,-0.109471815223329,0
"12","heart_latent_pc3","cov_sex",0.0866415727938778,0,0.0689597235377454,0.10432342205001,0
"13","brain_latent_grey","cov_age",-0.362893765817073,0,-0.376256200505893,-0.349531331128253,0
"14","brain_latent_grey","cov_sex",0.470953684675965,0,0.458598796987248,0.483308572364682,0
"15","brain_latent_atrophy","cov_age",-0.260426573507383,0,-0.274120418904158,-0.246732728110609,0
"16","brain_latent_atrophy","cov_sex",0.561327195763962,0,0.550339876328494,0.572314515199429,0
"17","brain_latent_wmh","cov_age",0.348235111684662,0,0.332961416867875,0.36350880650145,0
"18","brain_latent_wmh","cov_sex",0.0567837794368485,3.13440384758223e-11,0.0400228988640642,0.0735446600096329,3.58217582580827e-11
"19","brain_latent_gMD","cov_age",0.336840274576808,0,0.321372133732219,0.352308415421398,0
"20","brain_latent_gMD","cov_sex",0.0330058134066201,0.000128439030920857,0.0161129178833243,0.0498987089299159,0.000142710034356508
"21","brain_latent_gFA","cov_age",-0.250882319210687,0,-0.267453949784631,-0.234310688636744,0
"22","brain_latent_gFA","cov_sex",0.0613497432061945,4.10937950334755e-12,0.0440070446136116,0.0786924417987775,5.13672437918444e-12
"23","brain_latent_pc1","cov_age",-0.36676609942718,0,-0.381806309001885,-0.351725889852474,0
"24","brain_latent_pc1","cov_sex",0.00561708753425421,0.51051277540581,-0.0111133517957811,0.0223475268642895,0.523602846570061
"25","brain_latent_pc2","cov_age",0.0168361518229929,0.0579539889350569,-0.000567568729861929,0.0342398723758477,0.0610041988790072
"26","brain_latent_pc2","cov_sex",0.24900396559447,0,0.232404360769272,0.265603570419668,0
"27","brain_latent_pc3","cov_age",-0.183020448343361,0,-0.198639235050422,-0.167401661636299,0
"28","brain_latent_pc3","cov_sex",0.430986455944773,0,0.417208849219942,0.444764062669604,0
"29","heart_latent_cc1","cov_age",-0.0351491319445778,7.53441753431616e-12,-0.0452104289342163,-0.0250878349549392,9.13262731432262e-12
"30","heart_latent_cc1","cov_sex",0.8301437374945,0,0.825569624623524,0.834717850365476,0
"31","heart_latent_cc2","cov_age",-0.425500762739117,0,-0.439527327277062,-0.411474198201171,0
"32","heart_latent_cc2","cov_sex",0.0947454487127254,0,0.0786110616292657,0.110879835796185,0
"33","heart_latent_cc3","cov_age",0.26140095850355,0,0.24499930161811,0.27780261538899,0
"34","heart_latent_cc3","cov_sex",0.0725274578324953,2.22044604925031e-16,0.055310170795128,0.0897447448698627,2.86509167645202e-16
"35","brain_latent_cc1","cov_age",-0.00269824077611617,0.646562102723387,-0.0142314019825841,0.00883492043035173,0.646562102723387
"36","brain_latent_cc1","cov_sex",0.767388989267227,0,0.761144468040398,0.773633510494057,0
"37","brain_latent_cc2","cov_age",-0.579045632103778,0,-0.589969454838302,-0.568121809369255,0
"38","brain_latent_cc2","cov_sex",0.0782202450568738,0,0.0636203121162797,0.0928201779974679,0
"39","brain_latent_cc3","cov_age",0.36064929896204,0,0.345565132236889,0.375733465687192,0
"40","brain_latent_cc3","cov_sex",0.057332839741892,1.59106061659031e-11,0.040659061279811,0.074006618203973,1.87183601951801e-11
