"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","independent","dependent","pvalue_adj","significant"
"101","brain_latent_atrophy","brain_latent_atrophy","~","cardio_pack_years","a",-0.047108209385622,1.63130398078692e-10,-0.061551622274441,-0.032664796496803,"cardio_pack_years","cog_vnr",1.70825228176744e-09,TRUE
"111","brain_latent_atrophy","cog_vnr","~","cardio_pack_years","c",-0.0184962613613716,0.0425423541010876,-0.0363704584815405,-0.000622064241202615,"cardio_pack_years","cog_vnr",0.058880315526443,FALSE
"112","brain_latent_atrophy","cog_vnr","~","brain_latent_atrophy","b",0.216119274585825,0,0.194354685540772,0.237883863630879,"cardio_pack_years","cog_vnr",0,TRUE
"122","brain_latent_atrophy","de",":=","c","de",-0.0184962613613716,0.0425423541010876,-0.0363704584815405,-0.000622064241202615,"cardio_pack_years","cog_vnr",0.058880315526443,FALSE
"123","brain_latent_atrophy","ie",":=","a*b","ie",-0.0101809920394578,1.2722918274477e-09,-0.0134679046875311,-0.00689407939138453,"cardio_pack_years","cog_vnr",1.2024815098457e-08,TRUE
"124","brain_latent_atrophy","te",":=","c+a*b","te",-0.0286772534008294,0.00191073018608789,-0.0467863329674573,-0.0105681738342015,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"125","brain_latent_atrophy","pm",":=","(a*b)/(c+a*b)","pm",0.355019774633067,0.00302947775077156,0.120318552453538,0.589720996812596,"cardio_pack_years","cog_vnr",0.00686269449664578,TRUE
"126","brain_latent_gMD","brain_latent_gMD","~","cardio_pack_years","a",0.0280473111131928,0.00125295897244393,0.0110099622078764,0.0450846600185093,"cardio_pack_years","cog_vnr",0.00360306854770146,TRUE
"136","brain_latent_gMD","cog_vnr","~","cardio_pack_years","c",-0.0283483928484162,0.00216229134647428,-0.0464644953570358,-0.0102322903397967,"cardio_pack_years","cog_vnr",0.00533365198796988,TRUE
"137","brain_latent_gMD","cog_vnr","~","brain_latent_gMD","b",-0.011725227569553,0.227589076103879,-0.0307714438758886,0.00732098873678249,"cardio_pack_years","cog_vnr",0.268178210751277,FALSE
"147","brain_latent_gMD","de",":=","c","de",-0.0283483928484162,0.00216229134647428,-0.0464644953570358,-0.0102322903397967,"cardio_pack_years","cog_vnr",0.00533365198796988,TRUE
"148","brain_latent_gMD","ie",":=","a*b","ie",-0.00032886110551624,0.258430111416271,-0.000899209337711093,0.000241487126678613,"cardio_pack_years","cog_vnr",0.298809816325063,FALSE
"149","brain_latent_gMD","te",":=","c+a*b","te",-0.0286772539539325,0.0019107298176062,-0.0467863335369101,-0.0105681743709548,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"150","brain_latent_gMD","pm",":=","(a*b)/(c+a*b)","pm",0.0114676637464845,0.287744933851817,-0.00967484052938062,0.0326101680223496,"cardio_pack_years","cog_vnr",0.327250898130653,FALSE
"151","brain_latent_gFA","brain_latent_gFA","~","cardio_pack_years","a",-0.0131929662085453,0.140520792093745,-0.0307372624827905,0.0043513300656999,"cardio_pack_years","cog_vnr",0.178057168063992,FALSE
"161","brain_latent_gFA","cog_vnr","~","cardio_pack_years","c",-0.0281455852312275,0.00230214535858875,-0.0462429159188991,-0.010048254543556,"cardio_pack_years","cog_vnr",0.00557943525771509,TRUE
"162","brain_latent_gFA","cog_vnr","~","brain_latent_gFA","b",0.0402991627217538,1.915408147668e-05,0.0218211299575597,0.0587771954859478,"cardio_pack_years","cog_vnr",0.000114306670258561,TRUE
"172","brain_latent_gFA","de",":=","c","de",-0.0281455852312275,0.00230214535858875,-0.0462429159188991,-0.010048254543556,"cardio_pack_years","cog_vnr",0.00557943525771509,TRUE
"173","brain_latent_gFA","ie",":=","a*b","ie",-0.000531665492020766,0.163536567547215,-0.00127957600377278,0.000216245019731249,"cardio_pack_years","cog_vnr",0.20214430955168,FALSE
"174","brain_latent_gFA","te",":=","c+a*b","te",-0.0286772507232483,0.00191073209106718,-0.0467863303201885,-0.0105681711263082,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"175","brain_latent_gFA","pm",":=","(a*b)/(c+a*b)","pm",0.0185396256130561,0.197500572233561,-0.00965689033404119,0.0467361415601534,"cardio_pack_years","cog_vnr",0.237771838589211,FALSE
"176","brain_latent_pc1","brain_latent_pc1","~","cardio_pack_years","a",-0.0315469016500407,0.000237712161353265,-0.0483709320440382,-0.0147228712560432,"cardio_pack_years","cog_vnr",0.000903631846240152,TRUE
"186","brain_latent_pc1","cog_vnr","~","cardio_pack_years","c",-0.0278684770400208,0.00256735378262474,-0.0459832348890235,-0.00975371919101799,"cardio_pack_years","cog_vnr",0.00611826822200735,TRUE
"187","brain_latent_pc1","cog_vnr","~","brain_latent_pc1","b",0.0256372604777478,0.00914172247984646,0.00636080025554346,0.0449137206999521,"cardio_pack_years","cog_vnr",0.01653322446091,TRUE
"197","brain_latent_pc1","de",":=","c","de",-0.0278684770400208,0.00256735378262474,-0.0459832348890235,-0.00975371919101799,"cardio_pack_years","cog_vnr",0.00611826822200735,TRUE
"198","brain_latent_pc1","ie",":=","a*b","ie",-0.000808776134867985,0.0335106763705575,-0.00155441983573017,-6.31324340058045e-05,"cardio_pack_years","cog_vnr",0.0476882702196395,TRUE
"199","brain_latent_pc1","te",":=","c+a*b","te",-0.0286772531748887,0.00191073035491374,-0.0467863327513742,-0.0105681735984033,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"200","brain_latent_pc1","pm",":=","(a*b)/(c+a*b)","pm",0.028202705814802,0.0776255366557055,-0.00312182506569714,0.0595272366953012,"cardio_pack_years","cog_vnr",0.101608898216784,FALSE
"201","brain_latent_pc2","brain_latent_pc2","~","cardio_pack_years","a",0.00244884818671011,0.787719968691889,-0.0153756741594689,0.0202733705328891,"cardio_pack_years","cog_vnr",0.805423932093044,FALSE
"211","brain_latent_pc2","cog_vnr","~","cardio_pack_years","c",-0.0287930973557646,0.00181041509845303,-0.0468825342146668,-0.0107036604968624,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"212","brain_latent_pc2","cog_vnr","~","brain_latent_pc2","b",0.0473060501167394,3.38698258106618e-07,0.0291279197402766,0.0654841804932022,"cardio_pack_years","cog_vnr",2.54023696411032e-06,TRUE
"222","brain_latent_pc2","de",":=","c","de",-0.0287930973557646,0.00181041509845303,-0.0468825342146668,-0.0107036604968624,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"223","brain_latent_pc2","ie",":=","a*b","ie",0.000115845335048795,0.78800936058833,-0.000728541697091206,0.000960232367188796,"cardio_pack_years","cog_vnr",0.805423932093044,FALSE
"224","brain_latent_pc2","te",":=","c+a*b","te",-0.0286772520207158,0.00191073118720753,-0.0467863316203425,-0.010568172421089,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"225","brain_latent_pc2","pm",":=","(a*b)/(c+a*b)","pm",-0.00403962468109256,0.789602584795736,-0.0337125114878839,0.0256332621256988,"cardio_pack_years","cog_vnr",0.805568813532414,FALSE
"226","brain_latent_pc3","brain_latent_pc3","~","cardio_pack_years","a",-0.0250322229664072,0.0021041066071974,-0.0409867523322316,-0.00907769360058272,"cardio_pack_years","cog_vnr",0.00524412950682645,TRUE
"236","brain_latent_pc3","cog_vnr","~","cardio_pack_years","c",-0.0251339112861594,0.0061402384173479,-0.0431112911658991,-0.0071565314064197,"cardio_pack_years","cog_vnr",0.0114735431350992,TRUE
"237","brain_latent_pc3","cog_vnr","~","brain_latent_pc3","b",0.141551192845231,0,0.121525243248779,0.161577142441682,"cardio_pack_years","cog_vnr",0,TRUE
"247","brain_latent_pc3","de",":=","c","de",-0.0251339112861594,0.0061402384173479,-0.0431112911658991,-0.0071565314064197,"cardio_pack_years","cog_vnr",0.0114735431350992,TRUE
"248","brain_latent_pc3","ie",":=","a*b","ie",-0.00354334102046272,0.0026851694711616,-0.00585700547571248,-0.00122967656521296,"cardio_pack_years","cog_vnr",0.00634157045316888,TRUE
"249","brain_latent_pc3","te",":=","c+a*b","te",-0.0286772523066221,0.00191073097287298,-0.0467863318931415,-0.0105681727201027,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"250","brain_latent_pc3","pm",":=","(a*b)/(c+a*b)","pm",0.12355929300955,0.0214032906426274,0.0183035472847055,0.228815038734395,"cardio_pack_years","cog_vnr",0.033088652664786,TRUE
"251","heart_latent_cc1","heart_latent_cc1","~","cardio_pack_years","a",0.00567191735281259,0.228580376056519,-0.00356108422608392,0.0149049189317091,"cardio_pack_years","cog_vnr",0.268775654049508,FALSE
"261","heart_latent_cc1","cog_vnr","~","cardio_pack_years","c",-0.0296419610138247,0.00128089027691836,-0.0476832891625256,-0.0116006328651238,"cardio_pack_years","cog_vnr",0.00364561078815224,TRUE
"262","heart_latent_cc1","cog_vnr","~","heart_latent_cc1","b",0.17008519104784,0,0.135214839139404,0.204955542956276,"cardio_pack_years","cog_vnr",0,TRUE
"272","heart_latent_cc1","de",":=","c","de",-0.0296419610138247,0.00128089027691836,-0.0476832891625256,-0.0116006328651238,"cardio_pack_years","cog_vnr",0.00364561078815224,TRUE
"273","heart_latent_cc1","ie",":=","a*b","ie",0.000964709146560688,0.232262790483123,-0.000618141937149563,0.00254756023027094,"cardio_pack_years","cog_vnr",0.271953267337834,FALSE
"274","heart_latent_cc1","te",":=","c+a*b","te",-0.028677251867264,0.00191073127381469,-0.0467863314482387,-0.0105681722862893,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"275","heart_latent_cc1","pm",":=","(a*b)/(c+a*b)","pm",-0.0336402229553221,0.278421044854376,-0.0944717190338377,0.0271912731231936,"cardio_pack_years","cog_vnr",0.319113919466674,FALSE
"276","heart_latent_cc2","heart_latent_cc2","~","cardio_pack_years","a",-0.0605572443020753,0,-0.0742599891974908,-0.0468544994066597,"cardio_pack_years","cog_vnr",0,TRUE
"286","heart_latent_cc2","cog_vnr","~","cardio_pack_years","c",-0.0222383004606901,0.0160996983230826,-0.0403490818703124,-0.00412751905106778,"cardio_pack_years","cog_vnr",0.0274089956113829,TRUE
"287","heart_latent_cc2","cog_vnr","~","heart_latent_cc2","b",0.106328365462053,0,0.0828446281156615,0.129812102808444,"cardio_pack_years","cog_vnr",0,TRUE
"297","heart_latent_cc2","de",":=","c","de",-0.0222383004606901,0.0160996983230826,-0.0403490818703124,-0.00412751905106778,"cardio_pack_years","cog_vnr",0.0274089956113829,TRUE
"298","heart_latent_cc2","ie",":=","a*b","ie",-0.00643895280352586,5.79860826022127e-10,-0.00847583189656988,-0.00440207371048183,"cardio_pack_years","cog_vnr",5.64601330600492e-09,TRUE
"299","heart_latent_cc2","te",":=","c+a*b","te",-0.0286772532642159,0.00191073033392253,-0.046786332878144,-0.0105681736502878,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"300","heart_latent_cc2","pm",":=","(a*b)/(c+a*b)","pm",0.224531713138668,0.00452922336665251,0.0695072031797995,0.379556223097536,"cardio_pack_years","cog_vnr",0.00970547864282681,TRUE
"301","heart_latent_cc3","heart_latent_cc3","~","cardio_pack_years","a",-0.0181466382895261,0.014338234108076,-0.0326715312422883,-0.00362174533676388,"cardio_pack_years","cog_vnr",0.0247134159316217,TRUE
"311","heart_latent_cc3","cog_vnr","~","cardio_pack_years","c",-0.0284248802427773,0.00209909559195798,-0.0465375644353432,-0.0103121960502115,"cardio_pack_years","cog_vnr",0.00524412950682645,TRUE
"312","heart_latent_cc3","cog_vnr","~","heart_latent_cc3","b",0.0139073349280918,0.222581292180549,-0.00844081048417759,0.0362554803403612,"cardio_pack_years","cog_vnr",0.265091453133486,FALSE
"322","heart_latent_cc3","de",":=","c","de",-0.0284248802427773,0.00209909559195798,-0.0465375644353432,-0.0103121960502115,"cardio_pack_years","cog_vnr",0.00524412950682645,TRUE
"323","heart_latent_cc3","ie",":=","a*b","ie",-0.000252371376511374,0.274950372661764,-0.000705448000889585,0.000200705247866836,"cardio_pack_years","cog_vnr",0.315936763617555,FALSE
"324","heart_latent_cc3","te",":=","c+a*b","te",-0.0286772516192887,0.00191073145825271,-0.046786331210312,-0.0105681720282655,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"325","heart_latent_cc3","pm",":=","(a*b)/(c+a*b)","pm",0.00880040318583478,0.302376272990235,-0.00792375193283271,0.0255245583045023,"cardio_pack_years","cog_vnr",0.34318779449812,FALSE
"326","brain_latent_cc1","brain_latent_cc1","~","cardio_pack_years","a",0.0124997755583559,0.0327688942365754,0.00102426388834983,0.023975287228362,"cardio_pack_years","cog_vnr",0.0467525354789186,TRUE
"336","brain_latent_cc1","cog_vnr","~","cardio_pack_years","c",-0.030734375845322,0.000824960484016701,-0.0487466973625097,-0.0127220543281342,"cardio_pack_years","cog_vnr",0.00250192933677196,TRUE
"337","brain_latent_cc1","cog_vnr","~","brain_latent_cc1","b",0.164572832577606,0,0.136611440214602,0.192534224940609,"cardio_pack_years","cog_vnr",0,TRUE
"347","brain_latent_cc1","de",":=","c","de",-0.030734375845322,0.000824960484016701,-0.0487466973625097,-0.0127220543281342,"cardio_pack_years","cog_vnr",0.00250192933677196,TRUE
"348","brain_latent_cc1","ie",":=","a*b","ie",0.00205712347022295,0.0358102614576989,0.000136331076106964,0.00397791586433894,"cardio_pack_years","cog_vnr",0.0503007964468755,FALSE
"349","brain_latent_cc1","te",":=","c+a*b","te",-0.028677252375099,0.00191073093044314,-0.0467863319665248,-0.0105681727836732,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"350","brain_latent_cc1","pm",":=","(a*b)/(c+a*b)","pm",-0.071733632054973,0.096716042632405,-0.156379284899071,0.0129120207891248,"cardio_pack_years","cog_vnr",0.12454153981667,FALSE
"351","brain_latent_cc2","brain_latent_cc2","~","cardio_pack_years","a",-0.0698994504383823,0,-0.0834623250876746,-0.05633657578909,"cardio_pack_years","cog_vnr",0,TRUE
"361","brain_latent_cc2","cog_vnr","~","cardio_pack_years","c",-0.018129887402902,0.0493097832040879,-0.0362050015609843,-5.47732448198252e-05,"cardio_pack_years","cog_vnr",0.0669118085043246,FALSE
"362","brain_latent_cc2","cog_vnr","~","brain_latent_cc2","b",0.150893384547118,0,0.127342734759872,0.174444034334364,"cardio_pack_years","cog_vnr",0,TRUE
"372","brain_latent_cc2","de",":=","c","de",-0.018129887402902,0.0493097832040879,-0.0362050015609843,-5.47732448198252e-05,"cardio_pack_years","cog_vnr",0.0669118085043246,FALSE
"373","brain_latent_cc2","ie",":=","a*b","ie",-0.010547364654631,3.77475828372553e-15,-0.0131755582885656,-0.00791917102069651,"cardio_pack_years","cog_vnr",4.55432792927754e-14,TRUE
"374","brain_latent_cc2","te",":=","c+a*b","te",-0.0286772520575331,0.00191073115165108,-0.046786331648284,-0.0105681724667822,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"375","brain_latent_cc2","pm",":=","(a*b)/(c+a*b)","pm",0.36779551379158,0.00292740859168417,0.125508756170602,0.610082271412558,"cardio_pack_years","cog_vnr",0.00665865478846194,TRUE
"376","brain_latent_cc3","brain_latent_cc3","~","cardio_pack_years","a",-0.0235868634821031,0.00414419817393052,-0.0397116825157563,-0.00746204444844985,"cardio_pack_years","cog_vnr",0.00923706821900177,TRUE
"386","brain_latent_cc3","cog_vnr","~","cardio_pack_years","c",-0.0281906941409678,0.00228451291139486,-0.0463033057379364,-0.0100780825439993,"cardio_pack_years","cog_vnr",0.00557943525771509,TRUE
"387","brain_latent_cc3","cog_vnr","~","brain_latent_cc3","b",0.0206282643764407,0.0445204021839785,0.000505078744073986,0.0407514500088075,"cardio_pack_years","cog_vnr",0.061160453495317,FALSE
"397","brain_latent_cc3","de",":=","c","de",-0.0281906941409678,0.00228451291139486,-0.0463033057379364,-0.0100780825439993,"cardio_pack_years","cog_vnr",0.00557943525771509,TRUE
"398","brain_latent_cc3","ie",":=","a*b","ie",-0.000486556055719837,0.0999193157189648,-0.00106618547165156,9.30733602118872e-05,"cardio_pack_years","cog_vnr",0.128368565333392,FALSE
"399","brain_latent_cc3","te",":=","c+a*b","te",-0.0286772501966877,0.00191073247908879,-0.0467863298116932,-0.0105681705816822,"cardio_pack_years","cog_vnr",0.00488689643269254,TRUE
"400","brain_latent_cc3","pm",":=","(a*b)/(c+a*b)","pm",0.016966621708243,0.144388083319168,-0.00581563161307817,0.0397488750295642,"cardio_pack_years","cog_vnr",0.181301778828366,FALSE
"401","heart_latent_pc1","heart_latent_pc1","~","cardio_sbp","a",0.130995463880045,0,0.111123638943017,0.150867288817072,"cardio_sbp","cog_rt",0,TRUE
"411","heart_latent_pc1","cog_rt","~","cardio_sbp","c",-0.0343127669083573,0.0167597802401853,-0.062428818924546,-0.0061967148921686,"cardio_sbp","cog_rt",0.0281869031312208,TRUE
"412","heart_latent_pc1","cog_rt","~","heart_latent_pc1","b",-0.0374019476993746,0.00346969447074508,-0.0624833937315503,-0.012320501667199,"cardio_sbp","cog_rt",0.00779627704964987,TRUE
"422","heart_latent_pc1","de",":=","c","de",-0.0343127669083573,0.0167597802401853,-0.062428818924546,-0.0061967148921686,"cardio_sbp","cog_rt",0.0281869031312208,TRUE
"423","heart_latent_pc1","ie",":=","a*b","ie",-0.00489948548889675,0.00436493908944868,-0.00826829329210501,-0.00153067768568849,"cardio_sbp","cog_rt",0.00960589441874635,TRUE
"424","heart_latent_pc1","te",":=","c+a*b","te",-0.0392122523972541,0.00592987185076943,-0.067142782762942,-0.0112817220315661,"cardio_sbp","cog_rt",0.011359519484942,TRUE
"425","heart_latent_pc1","pm",":=","(a*b)/(c+a*b)","pm",0.124947820881614,0.0471724002058849,0.0015603172504973,0.248335324512731,"cardio_sbp","cog_rt",0.0644844387050889,FALSE
"426","heart_latent_pc2","heart_latent_pc2","~","cardio_sbp","a",0.0723260539863306,1.51812518112138e-09,0.0488658702556082,0.095786237717053,"cardio_sbp","cog_rt",1.40426579253727e-08,TRUE
