"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant","type"
"26","heart_texture_Busyness_ngtdm_MYO_ES","ie",":=","a*b","ie",-0.0130173789172007,0.000222449088225218,-0.0199277829734055,-0.00610697486099594,0.000694475202264096,TRUE,"Local Dimness"
"27","heart_texture_Busyness_ngtdm_MYO_ES","te",":=","c+a*b","te",-0.0369739519267655,0.00059750611029874,-0.0580846480456917,-0.0158632558078393,0.000597511292596442,TRUE,"Local Dimness"
"28","heart_texture_Busyness_ngtdm_MYO_ES","pm",":=","(a*b)/(c+a*b)","pm",0.352068909025043,0.0118521504219531,0.0778634718222113,0.626274346227875,0.0378690659823379,TRUE,"Local Dimness"
"29","heart_texture_ClusterProminence_glcm_MYO_ED","heart_texture_ClusterProminence_glcm_MYO_ED","~","cardio_latent_gvrf","a",-0.0150240791306472,0.171787813807298,-0.0365733274745946,0.00652516921330012,0.185985153791372,FALSE,"Shape"
"30","heart_texture_ClusterProminence_glcm_MYO_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.036898069810261,0.000613744609354372,-0.0580101980016154,-0.0157859416189065,0.00308725915523474,TRUE,"Shape"
"31","heart_texture_ClusterProminence_glcm_MYO_ED","cog_latent_g","~","heart_texture_ClusterProminence_glcm_MYO_ED","b",0.00505140305554225,0.573240399663778,-0.0125250581235381,0.0226278642346226,0.639102062603872,FALSE,"Shape"
"32","heart_texture_ClusterProminence_glcm_MYO_ED","de",":=","c","de",-0.036898069810261,0.000613744609354372,-0.0580101980016154,-0.0157859416189065,0.00308725915523474,TRUE,"Shape"
"33","heart_texture_ClusterProminence_glcm_MYO_ED","ie",":=","a*b","ie",-7.58926792272599e-05,0.602527461444214,-0.000361521854239371,0.000209736495784851,0.664857888490167,FALSE,"Shape"
"34","heart_texture_ClusterProminence_glcm_MYO_ED","te",":=","c+a*b","te",-0.0369739624894882,0.000597503932087129,-0.0580846585603987,-0.0158632664185778,0.000597511292596442,TRUE,"Shape"
"35","heart_texture_ClusterProminence_glcm_MYO_ED","pm",":=","(a*b)/(c+a*b)","pm",0.00205259793966731,0.606544725252869,-0.00575890752143488,0.0098641034007695,0.684977232828671,FALSE,"Shape"
"36","heart_texture_ClusterProminence_glcm_MYO_ES","heart_texture_ClusterProminence_glcm_MYO_ES","~","cardio_latent_gvrf","a",-0.0107789814647595,0.326937053106686,-0.0323299064042281,0.010771943474709,0.345393177072386,FALSE,"Shape"
"37","heart_texture_ClusterProminence_glcm_MYO_ES","cog_latent_g","~","cardio_latent_gvrf","c",-0.0369506638349496,0.000602583268603407,-0.0580621774106736,-0.0158391502592255,0.00308725915523474,TRUE,"Shape"
"38","heart_texture_ClusterProminence_glcm_MYO_ES","cog_latent_g","~","heart_texture_ClusterProminence_glcm_MYO_ES","b",0.00216143391247199,0.809537219066861,-0.0154150256101415,0.0197378934350855,0.845014945798875,FALSE,"Shape"
"39","heart_texture_ClusterProminence_glcm_MYO_ES","de",":=","c","de",-0.0369506638349496,0.000602583268603407,-0.0580621774106736,-0.0158391502592255,0.00308725915523474,TRUE,"Shape"
"40","heart_texture_ClusterProminence_glcm_MYO_ES","ie",":=","a*b","ie",-2.32980560798383e-05,NA,-2.32980560798383e-05,-2.32980560798383e-05,NA,FALSE,"Shape"
"41","heart_texture_ClusterProminence_glcm_MYO_ES","te",":=","c+a*b","te",-0.0369739618910294,0.000597504065807719,-0.0580846579934292,-0.0158632657886296,0.000597511292596442,TRUE,"Shape"
"42","heart_texture_ClusterProminence_glcm_MYO_ES","pm",":=","(a*b)/(c+a*b)","pm",0.000630120627821896,0.81536013803243,-0.00465863727357531,0.0059188785292191,0.857929141222878,FALSE,"Shape"
"43","heart_texture_ClusterShade_glcm_MYO_ED","heart_texture_ClusterShade_glcm_MYO_ED","~","cardio_latent_gvrf","a",-0.00608001795655076,0.5798529910948,-0.0276057182813952,0.0154456823682937,0.59733839034036,FALSE,"Shape"
"44","heart_texture_ClusterShade_glcm_MYO_ED","cog_latent_g","~","cardio_latent_gvrf","c",-0.0368843827887141,0.000615346591225974,-0.0579930437554701,-0.015775721821958,0.00308725915523474,TRUE,"Shape"
"45","heart_texture_ClusterShade_glcm_MYO_ED","cog_latent_g","~","heart_texture_ClusterShade_glcm_MYO_ED","b",0.0147330638453307,0.100745082535107,-0.00286098735659302,0.0323271150472544,0.153460532698826,FALSE,"Shape"
"46","heart_texture_ClusterShade_glcm_MYO_ED","de",":=","c","de",-0.0368843827887141,0.000615346591225974,-0.0579930437554701,-0.015775721821958,0.00308725915523474,TRUE,"Shape"
"47","heart_texture_ClusterShade_glcm_MYO_ED","ie",":=","a*b","ie",-8.95772927346194e-05,0.599890786258783,-0.000424275095661673,0.000245120510192434,0.664857888490167,FALSE,"Shape"
"48","heart_texture_ClusterShade_glcm_MYO_ED","te",":=","c+a*b","te",-0.0369739600814487,0.000597504435258411,-0.0580846561817065,-0.0158632639811909,0.000597511292596442,TRUE,"Shape"
