"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"154","heart_latent_cc2","ie",":=","a*b","ie",-0.0539369136016617,0,-0.0645799842496896,-0.0432938429536337,0,TRUE
"155","heart_latent_cc2","te",":=","c+a*b","te",-0.0717810467178811,6.48110028513837e-05,-0.107000899512175,-0.0365611939235868,6.48120860180512e-05,TRUE
"156","heart_latent_cc2","pm",":=","(a*b)/(c+a*b)","pm",0.751408847709456,0.00018511367391838,0.357472751599876,1.14534494381904,0.00074045469567352,TRUE
"157","heart_latent_cc3","heart_latent_cc3","~","cardio_latent_gvrf","a",0.0293502655336021,0.0576517272886745,-0.000952820273331479,0.0596533513405357,0.0614951757745862,FALSE
"161","heart_latent_cc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0708786955411817,7.97844715576534e-05,-0.10609239659687,-0.0356649944854938,0.000204076117352007,TRUE
"162","heart_latent_cc3","cog_latent_g","~","heart_latent_cc3","b",-0.030744853512094,0.00381786834691478,-0.0515752471716686,-0.0099144598525193,0.0050904911292197,TRUE
"166","heart_latent_cc3","de",":=","c","de",-0.0708786955411817,7.97844715576534e-05,-0.10609239659687,-0.0356649944854938,0.000204076117352007,TRUE
"167","heart_latent_cc3","ie",":=","a*b","ie",-0.000902369614371657,0.112500135651757,-0.00201676809768128,0.000212028868937966,0.138461705417548,FALSE
"168","heart_latent_cc3","te",":=","c+a*b","te",-0.0717810651555534,6.48107220058147e-05,-0.107000917943681,-0.0365612123674253,6.48120860180512e-05,TRUE
"169","heart_latent_cc3","pm",":=","(a*b)/(c+a*b)","pm",0.012571137143426,0.137323570800298,-0.00401147549009326,0.0291537497769452,0.183098094400398,FALSE
"170","brain_latent_cc1","brain_latent_cc1","~","cardio_latent_gvrf","a",0.0192545797562491,0.104221960346542,-0.00397296287274711,0.0424821223852453,0.104221960346542,FALSE
"174","brain_latent_cc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0745925348645526,3.04308271228404e-05,-0.109650337222802,-0.0395347325063033,0.000204076117352007,TRUE
"175","brain_latent_cc1","cog_latent_g","~","brain_latent_cc1","b",0.146015684625346,0,0.119082452632792,0.1729489166179,0,TRUE
"179","brain_latent_cc1","de",":=","c","de",-0.0745925348645526,3.04308271228404e-05,-0.109650337222802,-0.0395347325063033,0.000204076117352007,TRUE
"180","brain_latent_cc1","ie",":=","a*b","ie",0.00281147064528204,0.10828605025531,-0.000619768949653143,0.00624271024021722,0.138461705417548,FALSE
"181","brain_latent_cc1","te",":=","c+a*b","te",-0.0717810642192706,6.4810737732568e-05,-0.107000917054936,-0.0365612113836052,6.48120860180512e-05,TRUE
"182","brain_latent_cc1","pm",":=","(a*b)/(c+a*b)","pm",-0.0391673023500153,0.149035396819613,-0.0923684947896139,0.0140338900895832,0.183428180701062,FALSE
"183","brain_latent_cc2","brain_latent_cc2","~","cardio_latent_gvrf","a",-0.281930758067719,0,-0.308636944996223,-0.255224571139216,0,TRUE
"187","brain_latent_cc2","cog_latent_g","~","cardio_latent_gvrf","c",-0.0291664673352119,0.10847888318683,-0.0647819256330847,0.00644899096266099,0.115710808732619,FALSE
"188","brain_latent_cc2","cog_latent_g","~","brain_latent_cc2","b",0.151152651815153,0,0.128117360316716,0.17418794331359,0,TRUE
"192","brain_latent_cc2","de",":=","c","de",-0.0291664673352119,0.10847888318683,-0.0647819256330847,0.00644899096266099,0.115710808732619,FALSE
"193","brain_latent_cc2","ie",":=","a*b","ie",-0.042614581710192,0,-0.0502728368581639,-0.0349563265622201,0,TRUE
"194","brain_latent_cc2","te",":=","c+a*b","te",-0.0717810490454039,6.48109673384578e-05,-0.107000901836995,-0.0365611962538128,6.48120860180512e-05,TRUE
"195","brain_latent_cc2","pm",":=","(a*b)/(c+a*b)","pm",0.593674546094149,0.000132578397181504,0.289201305560936,0.898147786627362,0.00074045469567352,TRUE
"196","brain_latent_cc3","brain_latent_cc3","~","cardio_latent_gvrf","a",0.0426562143368118,0.00893741311914442,0.0106781703276358,0.0746342583459877,0.0102141864218793,TRUE
"200","brain_latent_cc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.071376370576696,7.15650552998159e-05,-0.10660536848459,-0.036147372668802,0.000204076117352007,TRUE
"201","brain_latent_cc3","cog_latent_g","~","brain_latent_cc3","b",-0.0094859528008477,0.346466838114255,-0.0292340415393934,0.010262135937698,0.369564627321872,FALSE
"205","brain_latent_cc3","de",":=","c","de",-0.071376370576696,7.15650552998159e-05,-0.10660536848459,-0.036147372668802,0.000204076117352007,TRUE
"206","brain_latent_cc3","ie",":=","a*b","ie",-0.000404634835861839,0.375743649940299,-0.00129998386748188,0.000490714195758201,0.400793226602985,FALSE
"207","brain_latent_cc3","te",":=","c+a*b","te",-0.0717810054125578,6.48116364765361e-05,-0.107000858364161,-0.0365611524609541,6.48120860180512e-05,TRUE
"208","brain_latent_cc3","pm",":=","(a*b)/(c+a*b)","pm",0.00563707395203258,0.386919410963228,-0.00713250325502241,0.0184066511590876,0.412714038360777,FALSE
