"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj","significant"
"64","brain_latent_gMD","ie",":=","a*b","ie",-0.0013770117451036,0.00893507745224542,-0.00240927958925053,-0.000344743900956679,0.0119134366029939,TRUE
"65","brain_latent_gMD","te",":=","c+a*b","te",-0.0369739831657334,0.000597499683846259,-0.058084679185991,-0.0158632871454759,0.000597507293656374,TRUE
"66","brain_latent_gMD","pm",":=","(a*b)/(c+a*b)","pm",0.0372427211569617,0.0358622212067086,0.00245841162144599,0.0720270306924773,0.0478162949422781,TRUE
"67","brain_latent_gFA","brain_latent_gFA","~","cardio_latent_gvrf","a",-0.0434383211955153,4.32731564632416e-05,-0.0642580592046207,-0.02261858318641,4.94550359579904e-05,TRUE
"70","brain_latent_gFA","cog_latent_g","~","cardio_latent_gvrf","c",-0.0348567623550895,0.00120620434942498,-0.055959440600122,-0.013754084110057,0.00214436328786663,TRUE
"71","brain_latent_gFA","cog_latent_g","~","brain_latent_gFA","b",0.0487410579792917,1.3853352354154e-07,0.0306040901621055,0.066878025796478,2.21653637666464e-07,TRUE
"74","brain_latent_gFA","de",":=","c","de",-0.0348567623550895,0.00120620434942498,-0.055959440600122,-0.013754084110057,0.00214436328786663,TRUE
"75","brain_latent_gFA","ie",":=","a*b","ie",-0.00211722973191371,0.0012424597929277,-0.00340238283057609,-0.00083207663325133,0.00220881740964924,TRUE
"76","brain_latent_gFA","te",":=","c+a*b","te",-0.0369739920870032,0.00059749785473362,-0.0580846880962494,-0.0158632960777569,0.000597507293656374,TRUE
"77","brain_latent_gFA","pm",":=","(a*b)/(c+a*b)","pm",0.0572626760705653,0.0165647295374514,0.0104254270462996,0.104099925094831,0.0265035672599222,TRUE
"78","brain_latent_pc1","brain_latent_pc1","~","cardio_latent_gvrf","a",-0.0418571139917639,4.32348543060179e-05,-0.0619179807559755,-0.0217962472275522,4.94550359579904e-05,TRUE
"81","brain_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.0350391646427133,0.00113893110813024,-0.0561457447174842,-0.0139325845679423,0.00214436328786663,TRUE
"82","brain_latent_pc1","cog_latent_g","~","brain_latent_pc1","b",0.0462238976590689,1.50232835771646e-06,0.027392350541547,0.0650554447765908,2.18520488395122e-06,TRUE
"85","brain_latent_pc1","de",":=","c","de",-0.0350391646427133,0.00113893110813024,-0.0561457447174842,-0.0139325845679423,0.00214436328786663,TRUE
"86","brain_latent_pc1","ie",":=","a*b","ie",-0.00193479895345928,0.00183944694058313,-0.0031521780368668,-0.000717419870051747,0.00294311510493301,TRUE
"87","brain_latent_pc1","te",":=","c+a*b","te",-0.0369739635961725,0.000597503705182412,-0.0580846596657131,-0.0158632675266319,0.000597507293656374,TRUE
