"","mediator","lhs","op","rhs","label","est.std","pvalue","ci.lower","ci.upper","pvalue_adj"
"1","heart_latent_pc1","heart_latent_pc1","~","cardio_latent_gvrf","a",0.403060479285248,0,0.389039804014231,0.417081154556265,0
"4","heart_latent_pc1","cog_latent_g","~","cardio_latent_gvrf","c",-0.074404515667712,3.94247523516356e-10,-0.0977138904805196,-0.0510951408549043,3.94247523516356e-10
"5","heart_latent_pc1","cog_latent_g","~","heart_latent_pc1","b",0.0928658254234256,2.92432744686266e-13,0.0679250299263523,0.117806620920499,2.92432744686266e-13
"8","heart_latent_pc1","de",":=","c","de",-0.074404515667712,3.94247523516356e-10,-0.0977138904805196,-0.0510951408549043,3.15398018813084e-09
"9","heart_latent_pc1","ie",":=","a*b","ie",0.0374305441043861,4.71400696255841e-13,0.0272882369196981,0.0475728512890741,1.25706852334891e-12
"10","heart_latent_pc1","te",":=","c+a*b","te",-0.0369739715633258,0.00059750204413267,-0.0580846675461536,-0.015863275580498,0.00059750204413267
"11","heart_latent_pc1","pm",":=","100*(a*b)/(c+a*b)","pm",-101.23484852115,0.00202360826017678,-165.515062892552,-36.9546341497484,0.00202360826017678
"12","heart_latent_pc2","heart_latent_pc2","~","cardio_latent_gvrf","a",-0.461853711524849,0,-0.477485425150432,-0.446221997899266,0
"15","heart_latent_pc2","cog_latent_g","~","cardio_latent_gvrf","c",0.00669199764333512,0.573762299674349,-0.0166246704233391,0.0300086657100093,0.573762299674349
"16","heart_latent_pc2","cog_latent_g","~","heart_latent_pc2","b",0.0945450090990402,0,0.0729457564460358,0.116144261752045,0
"19","heart_latent_pc2","de",":=","c","de",0.00669199764333512,0.573762299674349,-0.0166246704233391,0.0300086657100093,0.573762299674349
"20","heart_latent_pc2","ie",":=","a*b","ie",-0.0436659633585423,0,-0.0537636262353751,-0.0335683004817095,0
"21","heart_latent_pc2","te",":=","c+a*b","te",-0.0369739657152072,0.000597503270529653,-0.0580846617816092,-0.0158632696488052,0.000597503270529653
"22","heart_latent_pc2","pm",":=","100*(a*b)/(c+a*b)","pm",118.099215255622,0.00141283416002369,45.5838534505199,190.614577060724,0.00141283416002369
"23","heart_latent_pc3","heart_latent_pc3","~","cardio_latent_gvrf","a",0.286984997208106,0,0.267176283431279,0.306793710984932,0
"26","heart_latent_pc3","cog_latent_g","~","cardio_latent_gvrf","c",-0.0390707294001543,0.000430951864717644,-0.0608233610545407,-0.017318097745768,0.000430951864717644
"27","heart_latent_pc3","cog_latent_g","~","heart_latent_pc3","b",0.00730619541570288,0.434151561107485,-0.0110031609277842,0.0256155517591899,0.434151561107485
"30","heart_latent_pc3","de",":=","c","de",-0.0390707294001543,0.000430951864717644,-0.0608233610545407,-0.017318097745768,0.00137904596709646
"31","heart_latent_pc3","ie",":=","a*b","ie",0.00209676847097736,0.434335815177596,-0.00315984923679873,0.00735338617875346,0.463291536189436
"32","heart_latent_pc3","te",":=","c+a*b","te",-0.036973960929177,0.000597504275783534,-0.058084657068394,-0.01586326478996,0.000597504275783534
