"","PC1","PC2","PC3","PC4"
"cog_vnr",-0.580587533427706,0.175547938214489,0.0518954261732642,0.793352319060876
"cog_vismem",0.475185723857174,0.401083619495833,-0.720834307155485,0.306150877251931
"cog_rt",0.450491123761472,0.559309890293223,0.67683228727033,0.161642348846833
"cog_prosmem",-0.483915686130128,0.703908586523098,-0.140010075631648,-0.500734949107691
