"","lhs","op","rhs","est.std","se","z","pvalue","ci.lower","ci.upper"
"1","g","=~","cog_vnr",0.533716928078214,0.0197105101958098,27.0777835163128,0,0.495085037977517,0.572348818178911
"2","g","=~","cog_vismem",-0.315259620516327,0.0149479549795828,-21.0904850159728,0,-0.344557073918836,-0.285962167113819
"3","g","=~","cog_rt",-0.287676370655436,0.0146820161798332,-19.5937919650694,0,-0.316452593588343,-0.258900147722528
"4","g","=~","cog_prosmem",0.340798454841798,0.0153015391950549,22.2721682111519,0,0.310807989111462,0.370788920572133
"5","cog_vnr","~~","cog_vnr",0.715146240682754,0.0210396657737253,33.9903802833143,0,0.673909253519493,0.756383227846016
"6","cog_vismem","~~","cog_vismem",0.900611371671901,0.00942497272544025,95.5558597258257,0,0.882138764574766,0.919083978769036
"7","cog_rt","~~","cog_rt",0.917242305766516,0.00844733663141989,108.583609933909,0,0.900685830203648,0.933798781329385
"8","cog_prosmem","~~","cog_prosmem",0.883856413177443,0.0104294826876099,84.7459495021218,0,0.863415002732344,0.904297823622543
"9","g","~~","g",1,0,NA,NA,1,1
