"","V1","V2","V3"
"heart_shape_SurfaceArea_MYO_ES",0.13731522276734,-0.0344661740124856,0.944987572512484
"heart_shape_SurfaceAreatoVolumeRatio_MYO_ES",-0.548890164241992,0.0921367708003665,-0.417802600848547
"heart_shape_Sphericity_MYO_ES",0.463030795837452,-0.0764757708053893,-0.271492844178325
"heart_shape_Max3Ddiameter_MYO_ES",0.142784433965207,0.00219068880257457,0.730685586430157
"heart_shape_Max2DdiameterSlice_MYO_ES",0.0697090615151985,-0.0937797847257886,0.631677290263122
"heart_shape_Max2DdiameterColumn_MYO_ES",0.205618489172971,0.0229853704521375,0.867701753999205
"heart_shape_Max2DdiameterRow_MYO_ES",0.159567397382392,0.0214797668955538,0.763351040921051
"heart_shape_MajorAxis_MYO_ES",0.172213329990903,0.0117282153440799,0.876249384229035
"heart_shape_MinorAxis_MYO_ES",0.0830313570057869,-0.0193697823342091,0.893812734827255
"heart_shape_LeastAxis_MYO_ES",0.128842056779952,0.0219432951407951,0.894054490906019
"heart_shape_Elongation_MYO_ES",-0.149175058534184,-0.0446163097000988,-0.102276349059887
"heart_shape_Flatness_MYO_ES",-0.0863174259173674,0.0113366800660292,-0.0862636746690401
"heart_intensity_Energy_MYO_ED",0.0331206430057014,0.80453485729478,0.446781987609803
"heart_intensity_TotalEnergy_MYO_ED",0.054750788765737,0.792176970624979,0.4638895606145
"heart_intensity_Entropy_MYO_ED",-0.819694843801877,0.277435569583462,-0.23073338183833
"heart_intensity_Minimum_MYO_ED",0.179945360449682,0.572182853679005,-0.083214777440686
"heart_intensity_Percentile10_MYO_ED",0.158489489221756,0.895821759539577,0.0579681608838893
"heart_intensity_Percentile90_MYO_ED",-0.341780362595434,0.871003735829401,-0.0726144069749673
"heart_intensity_Maximum_MYO_ED",-0.197380471923537,0.72320986460725,-0.0944693974414008
"heart_intensity_Mean_MYO_ED",-0.070845099292554,0.933883437789423,-0.00480763725284104
"heart_intensity_Median_MYO_ED",-0.0187661717529111,0.91569420156359,0.0135023966073823
"heart_intensity_InterquartileRange_MYO_ED",-0.731276022172918,0.0628039118093213,-0.159609065752281
"heart_intensity_Range_MYO_ED",-0.2366928201879,0.683427691835934,-0.0880080585752617
"heart_intensity_MeanAbsoluteDeviation_MYO_ED",-0.802194297971332,0.255058893895201,-0.211162882015974
"heart_intensity_RobustMeanAbsoluteDeviation_MYO_ED",-0.777789074661272,0.0733943722660205,-0.169335737033479
"heart_intensity_RootMeanSquared_MYO_ED",-0.124804382420046,0.934855231011605,-0.0212098875835111
"heart_intensity_Skewness_MYO_ED",0.0617978281570085,0.0829819683128683,-0.132827617669168
"heart_intensity_Kurtosis_MYO_ED",0.206253850070674,0.387743287359032,-0.0431686863466484
"heart_intensity_Variance_MYO_ED",-0.627602768424826,0.39156062000136,-0.130840463792729
"heart_intensity_Uniformity_MYO_ED",0.774987811229239,-0.0641296939157503,0.177586214034953
"heart_intensity_Energy_MYO_ES",0.0307290573548568,0.771847545051824,0.499336512905501
"heart_intensity_TotalEnergy_MYO_ES",0.0490899333566378,0.764564157069439,0.516531372775964
"heart_intensity_Entropy_MYO_ES",-0.823868847999914,0.165070930202525,0.25236111404112
"heart_intensity_Minimum_MYO_ES",0.183881043560805,0.559364936135922,-0.0703872736187307
"heart_intensity_Percentile10_MYO_ES",0.0825100600952585,0.923047610304821,0.0148677444389233
"heart_intensity_Percentile90_MYO_ES",-0.300278155339267,0.869748358153461,0.151267741642293
"heart_intensity_Maximum_MYO_ES",-0.227816361785005,0.795565302871947,0.0919549927995863
"heart_intensity_Mean_MYO_ES",-0.104789014633349,0.926662269304076,0.0900740299602224
"heart_intensity_Median_MYO_ES",-0.079476826403248,0.910360173843873,0.086580014262151
"heart_intensity_InterquartileRange_MYO_ES",-0.691232377579754,0.131297505261485,0.282962208818476
"heart_intensity_Range_MYO_ES",-0.300276611252775,0.735111757624253,0.120202277191037
"heart_intensity_MeanAbsoluteDeviation_MYO_ES",-0.758717575159625,0.258174276755998,0.264943268995226
"heart_intensity_RobustMeanAbsoluteDeviation_MYO_ES",-0.72178022802499,0.155636883298134,0.290317800197909
